timeframe,group,segment,year,category,metric,value
mid-year,hunt,All,2008,All,participants,44864
mid-year,hunt,All,2009,All,participants,42927
mid-year,hunt,All,2010,All,participants,39966
mid-year,hunt,All,2011,All,participants,41830
mid-year,hunt,All,2012,All,participants,43155
mid-year,hunt,All,2013,All,participants,44012
mid-year,hunt,All,2014,All,participants,44801
mid-year,hunt,All,2015,All,participants,44437
mid-year,hunt,All,2016,All,participants,45666
mid-year,hunt,All,2017,All,participants,42091
mid-year,hunt,All,2018,All,participants,43180
mid-year,hunt,All,2019,All,participants,45713
mid-year,hunt,Residency,2008,Resident,participants,40489
mid-year,hunt,Residency,2009,Resident,participants,38641
mid-year,hunt,Residency,2010,Resident,participants,36142
mid-year,hunt,Residency,2011,Resident,participants,37880
mid-year,hunt,Residency,2012,Resident,participants,39057
mid-year,hunt,Residency,2013,Resident,participants,39803
mid-year,hunt,Residency,2014,Resident,participants,40640
mid-year,hunt,Residency,2015,Resident,participants,40011
mid-year,hunt,Residency,2016,Resident,participants,41027
mid-year,hunt,Residency,2017,Resident,participants,37585
mid-year,hunt,Residency,2018,Resident,participants,38583
mid-year,hunt,Residency,2019,Resident,participants,40664
mid-year,hunt,Residency,2008,Nonresident,participants,4375
mid-year,hunt,Residency,2009,Nonresident,participants,4286
mid-year,hunt,Residency,2010,Nonresident,participants,3824
mid-year,hunt,Residency,2011,Nonresident,participants,3950
mid-year,hunt,Residency,2012,Nonresident,participants,4098
mid-year,hunt,Residency,2013,Nonresident,participants,4209
mid-year,hunt,Residency,2014,Nonresident,participants,4161
mid-year,hunt,Residency,2015,Nonresident,participants,4426
mid-year,hunt,Residency,2016,Nonresident,participants,4639
mid-year,hunt,Residency,2017,Nonresident,participants,4506
mid-year,hunt,Residency,2018,Nonresident,participants,4597
mid-year,hunt,Residency,2019,Nonresident,participants,5049
mid-year,hunt,Gender,2008,Male,participants,38477
mid-year,hunt,Gender,2009,Male,participants,36878
mid-year,hunt,Gender,2010,Male,participants,34120
mid-year,hunt,Gender,2011,Male,participants,35571
mid-year,hunt,Gender,2012,Male,participants,36199
mid-year,hunt,Gender,2013,Male,participants,37218
mid-year,hunt,Gender,2014,Male,participants,37309
mid-year,hunt,Gender,2015,Male,participants,37105
mid-year,hunt,Gender,2016,Male,participants,37689
mid-year,hunt,Gender,2017,Male,participants,35183
mid-year,hunt,Gender,2018,Male,participants,36307
mid-year,hunt,Gender,2019,Male,participants,38271
mid-year,hunt,Gender,2008,Female,participants,6387
mid-year,hunt,Gender,2009,Female,participants,6049
mid-year,hunt,Gender,2010,Female,participants,5846
mid-year,hunt,Gender,2011,Female,participants,6259
mid-year,hunt,Gender,2012,Female,participants,6956
mid-year,hunt,Gender,2013,Female,participants,6794
mid-year,hunt,Gender,2014,Female,participants,7492
mid-year,hunt,Gender,2015,Female,participants,7332
mid-year,hunt,Gender,2016,Female,participants,7977
mid-year,hunt,Gender,2017,Female,participants,6908
mid-year,hunt,Gender,2018,Female,participants,6873
mid-year,hunt,Gender,2019,Female,participants,7442
mid-year,hunt,Age,2008,18-24,participants,5857
mid-year,hunt,Age,2009,18-24,participants,5362
