"quarter","group","metric","segment","year","category","value"
4,"deer-bow","participants","All",2006,"All",53486
4,"deer-bow","participants","All",2007,"All",55289
4,"deer-bow","participants","All",2008,"All",56355
4,"deer-bow","participants","All",2009,"All",59235
4,"deer-bow","participants","All",2010,"All",59246
4,"deer-bow","participants","All",2011,"All",60403
4,"deer-bow","participants","All",2012,"All",63751
4,"deer-bow","participants","All",2013,"All",63264
4,"deer-bow","participants","All",2014,"All",64692
4,"deer-bow","participants","All",2015,"All",67303
4,"deer-bow","participants","All",2016,"All",68109
4,"deer-bow","participants","gender",2006,"Male",51777
4,"deer-bow","participants","gender",2006,"Female",1709
4,"deer-bow","participants","gender",2007,"Male",53390
4,"deer-bow","participants","gender",2007,"Female",1899
4,"deer-bow","participants","gender",2008,"Male",54294
4,"deer-bow","participants","gender",2008,"Female",2061
4,"deer-bow","participants","gender",2009,"Male",56909
4,"deer-bow","participants","gender",2009,"Female",2326
4,"deer-bow","participants","gender",2010,"Male",56832
4,"deer-bow","participants","gender",2010,"Female",2414
4,"deer-bow","participants","gender",2011,"Male",57718
4,"deer-bow","participants","gender",2011,"Female",2685
4,"deer-bow","participants","gender",2012,"Male",60659
4,"deer-bow","participants","gender",2012,"Female",3092
4,"deer-bow","participants","gender",2013,"Male",60003
4,"deer-bow","participants","gender",2013,"Female",3261
4,"deer-bow","participants","gender",2014,"Male",61084
4,"deer-bow","participants","gender",2014,"Female",3608
4,"deer-bow","participants","gender",2015,"Male",63328
4,"deer-bow","participants","gender",2015,"Female",3975
4,"deer-bow","participants","gender",2016,"Male",63966
4,"deer-bow","participants","gender",2016,"Female",4143
4,"deer-bow","participants","age",2006,"0-17",3848
4,"deer-bow","participants","age",2006,"18-24",6179
4,"deer-bow","participants","age",2006,"25-34",11466
4,"deer-bow","participants","age",2006,"35-44",13564
4,"deer-bow","participants","age",2006,"45-54",11075
4,"deer-bow","participants","age",2006,"55-64",5422
4,"deer-bow","participants","age",2006,"65+",1932
4,"deer-bow","participants","age",2007,"0-17",3832
4,"deer-bow","participants","age",2007,"18-24",6370
4,"deer-bow","participants","age",2007,"25-34",11698
4,"deer-bow","participants","age",2007,"35-44",13491
4,"deer-bow","participants","age",2007,"45-54",11696
4,"deer-bow","participants","age",2007,"55-64",5912
4,"deer-bow","participants","age",2007,"65+",2290
4,"deer-bow","participants","age",2008,"0-17",3794
4,"deer-bow","participants","age",2008,"18-24",6537
4,"deer-bow","participants","age",2008,"25-34",12205
4,"deer-bow","participants","age",2008,"35-44",13080
4,"deer-bow","participants","age",2008,"45-54",11791
4,"deer-bow","participants","age",2008,"55-64",6379
4,"deer-bow","participants","age",2008,"65+",2569
4,"deer-bow","participants","age",2009,"0-17",3780
4,"deer-bow","participants","age",2009,"18-24",6924
4,"deer-bow","participants","age",2009,"25-34",12612
4,"deer-bow","participants","age",2009,"35-44",13231
4,"deer-bow","participants","age",2009,"45-54",12587
4,"deer-bow","participants","age",2009,"55-64",7048
4,"deer-bow","participants","age",2009,"65+",3053
4,"deer-bow","participants","age",2010,"0-17",3714
4,"deer-bow","participants","age",2010,"18-24",6832
4,"deer-bow","participants","age",2010,"25-34",12486
4,"deer-bow","participants","age",2010,"35-44",12705
4,"deer-bow","participants","age",2010,"45-54",12674
4,"deer-bow","participants","age",2010,"55-64",7547
4,"deer-bow","participants","age",2010,"65+",3288
4,"deer-bow","participants","age",2011,"0-17",3802
4,"deer-bow","participants","age",2011,"18-24",6939
4,"deer-bow","participants","age",2011,"25-34",12559
4,"deer-bow","participants","age",2011,"35-44",12399
4,"deer-bow","participants","age",2011,"45-54",12821
4,"deer-bow","participants","age",2011,"55-64",8204
4,"deer-bow","participants","age",2011,"65+",3679
4,"deer-bow","participants","age",2012,"0-17",4093
4,"deer-bow","participants","age",2012,"18-24",7433
4,"deer-bow","participants","age",2012,"25-34",13049
4,"deer-bow","participants","age",2012,"35-44",12743
4,"deer-bow","participants","age",2012,"45-54",13119
4,"deer-bow","participants","age",2012,"55-64",8922
4,"deer-bow","participants","age",2012,"65+",4392
4,"deer-bow","participants","age",2013,"0-17",3964
4,"deer-bow","participants","age",2013,"18-24",7478
4,"deer-bow","participants","age",2013,"25-34",12897
4,"deer-bow","participants","age",2013,"35-44",12272
4,"deer-bow","participants","age",2013,"45-54",12752
4,"deer-bow","participants","age",2013,"55-64",9090
4,"deer-bow","participants","age",2013,"65+",4811
4,"deer-bow","participants","age",2014,"0-17",3904
4,"deer-bow","participants","age",2014,"18-24",7557
4,"deer-bow","participants","age",2014,"25-34",12973
4,"deer-bow","participants","age",2014,"35-44",12193
4,"deer-bow","participants","age",2014,"45-54",12770
4,"deer-bow","participants","age",2014,"55-64",9756
4,"deer-bow","participants","age",2014,"65+",5539
4,"deer-bow","participants","age",2015,"0-17",4046
4,"deer-bow","participants","age",2015,"18-24",7903
4,"deer-bow","participants","age",2015,"25-34",13289
4,"deer-bow","participants","age",2015,"35-44",12392
4,"deer-bow","participants","age",2015,"45-54",12966
4,"deer-bow","participants","age",2015,"55-64",10412
4,"deer-bow","participants","age",2015,"65+",6295
4,"deer-bow","participants","age",2016,"0-17",3993
4,"deer-bow","participants","age",2016,"18-24",7850
4,"deer-bow","participants","age",2016,"25-34",13401
4,"deer-bow","participants","age",2016,"35-44",12285
4,"deer-bow","participants","age",2016,"45-54",12675
4,"deer-bow","participants","age",2016,"55-64",10813
4,"deer-bow","participants","age",2016,"65+",7092
4,"deer-bow","participants","Residency",2006,"Resident",50390
4,"deer-bow","participants","Residency",2006,"Nonresident",3096
4,"deer-bow","participants","Residency",2007,"Resident",52020
4,"deer-bow","participants","Residency",2007,"Nonresident",3269
4,"deer-bow","participants","Residency",2008,"Resident",54109
4,"deer-bow","participants","Residency",2008,"Nonresident",2246
4,"deer-bow","participants","Residency",2009,"Resident",56944
4,"deer-bow","participants","Residency",2009,"Nonresident",2291
4,"deer-bow","participants","Residency",2010,"Resident",56933
4,"deer-bow","participants","Residency",2010,"Nonresident",2313
4,"deer-bow","participants","Residency",2011,"Resident",58032
4,"deer-bow","participants","Residency",2011,"Nonresident",2371
4,"deer-bow","participants","Residency",2012,"Resident",61340
4,"deer-bow","participants","Residency",2012,"Nonresident",2411
4,"deer-bow","participants","Residency",2013,"Resident",60823
4,"deer-bow","participants","Residency",2013,"Nonresident",2441
4,"deer-bow","participants","Residency",2014,"Resident",62177
4,"deer-bow","participants","Residency",2014,"Nonresident",2515
4,"deer-bow","participants","Residency",2015,"Resident",64735
4,"deer-bow","participants","Residency",2015,"Nonresident",2568
4,"deer-bow","participants","Residency",2016,"Resident",65467
4,"deer-bow","participants","Residency",2016,"Nonresident",2642
4,"deer-bow","participants","county",2015,"Adair",220
4,"deer-bow","participants","county",2015,"Adams",144
4,"deer-bow","participants","county",2015,"Allamakee",766
4,"deer-bow","participants","county",2015,"Appanoose",540
4,"deer-bow","participants","county",2015,"Audubon",116
4,"deer-bow","participants","county",2015,"Benton",815
4,"deer-bow","participants","county",2015,"Black Hawk",2017
