"","region","state","quarter","group","metric","segment","year","category","value","aggregation","value_type"
"1","Midwest","MO",4,"all_sports","participants","All",2009,"All",976616,"NONE","total"
"2","Midwest","MO",4,"all_sports","participants","All",2010,"All",952194,"NONE","total"
"3","Midwest","MO",4,"all_sports","participants","All",2011,"All",914697,"NONE","total"
"4","Midwest","MO",4,"all_sports","participants","All",2012,"All",951506,"NONE","total"
"5","Midwest","MO",4,"all_sports","participants","All",2013,"All",935652,"NONE","total"
"6","Midwest","MO",4,"all_sports","participants","All",2014,"All",947701,"NONE","total"
"7","Midwest","MO",4,"all_sports","participants","All",2015,"All",923477,"NONE","total"
"8","Midwest","MO",4,"all_sports","participants","All",2016,"All",928119,"NONE","total"
"9","Midwest","MO",4,"all_sports","participants","All",2017,"All",903032,"NONE","total"
"10","Midwest","MO",4,"all_sports","participants","All",2018,"All",852889,"NONE","total"
"11","Midwest","MO",4,"all_sports","participants","Residency",2009,"Resident",801015,"NONE","total"
"12","Midwest","MO",4,"all_sports","participants","Residency",2010,"Resident",780275,"NONE","total"
"13","Midwest","MO",4,"all_sports","participants","Residency",2011,"Resident",754742,"NONE","total"
"14","Midwest","MO",4,"all_sports","participants","Residency",2012,"Resident",784898,"NONE","total"
"15","Midwest","MO",4,"all_sports","participants","Residency",2013,"Resident",767145,"NONE","total"
"16","Midwest","MO",4,"all_sports","participants","Residency",2014,"Resident",774887,"NONE","total"
"17","Midwest","MO",4,"all_sports","participants","Residency",2015,"Resident",750508,"NONE","total"
"18","Midwest","MO",4,"all_sports","participants","Residency",2016,"Resident",751364,"NONE","total"
"19","Midwest","MO",4,"all_sports","participants","Residency",2017,"Resident",728292,"NONE","total"
"20","Midwest","MO",4,"all_sports","participants","Residency",2018,"Resident",690690,"NONE","total"
"21","Midwest","MO",4,"all_sports","participants","Residency",2009,"Nonresident",175601,"NONE","total"
"22","Midwest","MO",4,"all_sports","participants","Residency",2010,"Nonresident",171919,"NONE","total"
"23","Midwest","MO",4,"all_sports","participants","Residency",2011,"Nonresident",159955,"NONE","total"
"24","Midwest","MO",4,"all_sports","participants","Residency",2012,"Nonresident",166608,"NONE","total"
"25","Midwest","MO",4,"all_sports","participants","Residency",2013,"Nonresident",168507,"NONE","total"
"26","Midwest","MO",4,"all_sports","participants","Residency",2014,"Nonresident",172814,"NONE","total"
"27","Midwest","MO",4,"all_sports","participants","Residency",2015,"Nonresident",172969,"NONE","total"
"28","Midwest","MO",4,"all_sports","participants","Residency",2016,"Nonresident",176755,"NONE","total"
"29","Midwest","MO",4,"all_sports","participants","Residency",2017,"Nonresident",174740,"NONE","total"
"30","Midwest","MO",4,"all_sports","participants","Residency",2018,"Nonresident",162199,"NONE","total"
"31","Midwest","MO",4,"all_sports","participants","gender",2009,"Male",749295,"NONE","total"
"32","Midwest","MO",4,"all_sports","participants","gender",2010,"Male",732149,"NONE","total"
"33","Midwest","MO",4,"all_sports","participants","gender",2011,"Male",704192,"NONE","total"
"34","Midwest","MO",4,"all_sports","participants","gender",2012,"Male",722779,"NONE","total"
"35","Midwest","MO",4,"all_sports","participants","gender",2013,"Male",711185,"NONE","total"
"36","Midwest","MO",4,"all_sports","participants","gender",2014,"Male",713185,"NONE","total"
"37","Midwest","MO",4,"all_sports","participants","gender",2015,"Male",696731,"NONE","total"
"38","Midwest","MO",4,"all_sports","participants","gender",2016,"Male",702589,"NONE","total"
"39","Midwest","MO",4,"all_sports","participants","gender",2017,"Male",686538,"NONE","total"
"40","Midwest","MO",4,"all_sports","participants","gender",2018,"Male",646079,"NONE","total"
"41","Midwest","MO",4,"all_sports","participants","gender",2009,"Female",227321,"NONE","total"
"42","Midwest","MO",4,"all_sports","participants","gender",2010,"Female",220045,"NONE","total"
"43","Midwest","MO",4,"all_sports","participants","gender",2011,"Female",210505,"NONE","total"
"44","Midwest","MO",4,"all_sports","participants","gender",2012,"Female",228727,"NONE","total"
"45","Midwest","MO",4,"all_sports","participants","gender",2013,"Female",224467,"NONE","total"
"46","Midwest","MO",4,"all_sports","participants","gender",2014,"Female",234516,"NONE","total"
"47","Midwest","MO",4,"all_sports","participants","gender",2015,"Female",226746,"NONE","total"
"48","Midwest","MO",4,"all_sports","participants","gender",2016,"Female",225530,"NONE","total"
"49","Midwest","MO",4,"all_sports","participants","gender",2017,"Female",216494,"NONE","total"
"50","Midwest","MO",4,"all_sports","participants","gender",2018,"Female",206810,"NONE","total"
"51","Midwest","MO",4,"all_sports","participants","age",2009,"18-24",133400,"NONE","total"
"52","Midwest","MO",4,"all_sports","participants","age",2010,"18-24",130394,"NONE","total"
"53","Midwest","MO",4,"all_sports","participants","age",2011,"18-24",126443,"NONE","total"
"54","Midwest","MO",4,"all_sports","participants","age",2012,"18-24",135264,"NONE","total"
"55","Midwest","MO",4,"all_sports","participants","age",2013,"18-24",133978,"NONE","total"
"56","Midwest","MO",4,"all_sports","participants","age",2014,"18-24",136930,"NONE","total"
"57","Midwest","MO",4,"all_sports","participants","age",2015,"18-24",131894,"NONE","total"
"58","Midwest","MO",4,"all_sports","participants","age",2016,"18-24",131654,"NONE","total"
"59","Midwest","MO",4,"all_sports","participants","age",2017,"18-24",125797,"NONE","total"
"60","Midwest","MO",4,"all_sports","participants","age",2018,"18-24",115891,"NONE","total"
"61","Midwest","MO",4,"all_sports","participants","age",2009,"25-34",202732,"NONE","total"
"62","Midwest","MO",4,"all_sports","participants","age",2010,"25-34",199292,"NONE","total"
"63","Midwest","MO",4,"all_sports","participants","age",2011,"25-34",193651,"NONE","total"
"64","Midwest","MO",4,"all_sports","participants","age",2012,"25-34",203652,"NONE","total"
"65","Midwest","MO",4,"all_sports","participants","age",2013,"25-34",201940,"NONE","total"
"66","Midwest","MO",4,"all_sports","participants","age",2014,"25-34",205995,"NONE","total"
"67","Midwest","MO",4,"all_sports","participants","age",2015,"25-34",200507,"NONE","total"
"68","Midwest","MO",4,"all_sports","participants","age",2016,"25-34",201184,"NONE","total"
"69","Midwest","MO",4,"all_sports","participants","age",2017,"25-34",193231,"NONE","total"
"70","Midwest","MO",4,"all_sports","participants","age",2018,"25-34",180021,"NONE","total"
"71","Midwest","MO",4,"all_sports","participants","age",2009,"35-44",213966,"NONE","total"
"72","Midwest","MO",4,"all_sports","participants","age",2010,"35-44",203247,"NONE","total"
"73","Midwest","MO",4,"all_sports","participants","age",2011,"35-44",191784,"NONE","total"
"74","Midwest","MO",4,"all_sports","participants","age",2012,"35-44",199003,"NONE","total"
"75","Midwest","MO",4,"all_sports","participants","age",2013,"35-44",195060,"NONE","total"
"76","Midwest","MO",4,"all_sports","participants","age",2014,"35-44",196808,"NONE","total"
"77","Midwest","MO",4,"all_sports","participants","age",2015,"35-44",191097,"NONE","total"
"78","Midwest","MO",4,"all_sports","participants","age",2016,"35-44",192540,"NONE","total"
"79","Midwest","MO",4,"all_sports","participants","age",2017,"35-44",190524,"NONE","total"
"80","Midwest","MO",4,"all_sports","participants","age",2018,"35-44",183171,"NONE","total"
"81","Midwest","MO",4,"all_sports","participants","age",2009,"45-54",248580,"NONE","total"
"82","Midwest","MO",4,"all_sports","participants","age",2010,"45-54",240576,"NONE","total"
"83","Midwest","MO",4,"all_sports","participants","age",2011,"45-54",227067,"NONE","total"
"84","Midwest","MO",4,"all_sports","participants","age",2012,"45-54",229444,"NONE","total"
"85","Midwest","MO",4,"all_sports","participants","age",2013,"45-54",220421,"NONE","total"
"86","Midwest","MO",4,"all_sports","participants","age",2014,"45-54",217501,"NONE","total"
"87","Midwest","MO",4,"all_sports","participants","age",2015,"45-54",208263,"NONE","total"
"88","Midwest","MO",4,"all_sports","participants","age",2016,"45-54",205312,"NONE","total"
"89","Midwest","MO",4,"all_sports","participants","age",2017,"45-54",195760,"NONE","total"
"90","Midwest","MO",4,"all_sports","participants","age",2018,"45-54",181072,"NONE","total"
"91","Midwest","MO",4,"all_sports","participants","age",2009,"55-64",177938,"NONE","total"
"92","Midwest","MO",4,"all_sports","participants","age",2010,"55-64",178685,"NONE","total"
"93","Midwest","MO",4,"all_sports","participants","age",2011,"55-64",175752,"NONE","total"
"94","Midwest","MO",4,"all_sports","participants","age",2012,"55-64",184143,"NONE","total"
"95","Midwest","MO",4,"all_sports","participants","age",2013,"55-64",184253,"NONE","total"
"96","Midwest","MO",4,"all_sports","participants","age",2014,"55-64",190467,"NONE","total"
"97","Midwest","MO",4,"all_sports","participants","age",2015,"55-64",191716,"NONE","total"
"98","Midwest","MO",4,"all_sports","participants","age",2016,"55-64",197429,"NONE","total"
"99","Midwest","MO",4,"all_sports","participants","age",2017,"55-64",197720,"NONE","total"
"100","Midwest","MO",4,"all_sports","participants","age",2018,"55-64",192734,"NONE","total"
"101","Midwest","MO",4,"all_sports","participation rate","All",2009,"All",0.215798947879559,"NONE","total"
"102","Midwest","MO",4,"all_sports","participation rate","All",2010,"All",0.209337832951812,"NONE","total"
"103","Midwest","MO",4,"all_sports","participation rate","All",2011,"All",0.201807254820043,"NONE","total"
"104","Midwest","MO",4,"all_sports","participation rate","All",2012,"All",0.20953222296942,"NONE","total"
"105","Midwest","MO",4,"all_sports","participation rate","All",2013,"All",0.204397666168491,"NONE","total"
"106","Midwest","MO",4,"all_sports","participation rate","All",2014,"All",0.206218617836002,"NONE","total"
"107","Midwest","MO",4,"all_sports","participation rate","All",2015,"All",0.199763054388592,"NONE","total"
"108","Midwest","MO",4,"all_sports","participation rate","All",2016,"All",0.20014906603929,"NONE","total"
"109","Midwest","MO",4,"all_sports","participation rate","All",2017,"All",0.193293692682469,"NONE","total"
"110","Midwest","MO",4,"all_sports","participation rate","All",2018,"All",0.182736045952595,"NONE","total"
"111","Midwest","MO",4,"all_sports","participation rate","gender",2009,"Male",0.329170769090419,"NONE","total"
"112","Midwest","MO",4,"all_sports","participation rate","gender",2010,"Male",0.319750650614121,"NONE","total"
"113","Midwest","MO",4,"all_sports","participation rate","gender",2011,"Male",0.308472059045593,"NONE","total"
"114","Midwest","MO",4,"all_sports","participation rate","gender",2012,"Male",0.315274674076811,"NONE","total"
"115","Midwest","MO",4,"all_sports","participation rate","gender",2013,"Male",0.307716622080057,"NONE","total"
"116","Midwest","MO",4,"all_sports","participation rate","gender",2014,"Male",0.30686944231222,"NONE","total"
"117","Midwest","MO",4,"all_sports","participation rate","gender",2015,"Male",0.297593371085475,"NONE","total"
"118","Midwest","MO",4,"all_sports","participation rate","gender",2016,"Male",0.295282370806321,"NONE","total"
"119","Midwest","MO",4,"all_sports","participation rate","gender",2017,"Male",0.286052930446735,"NONE","total"
"120","Midwest","MO",4,"all_sports","participation rate","gender",2018,"Male",0.272200206245462,"NONE","total"
"121","Midwest","MO",4,"all_sports","participation rate","gender",2009,"Female",0.105121050926227,"NONE","total"
"122","Midwest","MO",4,"all_sports","participation rate","gender",2010,"Female",0.101512407255633,"NONE","total"
"123","Midwest","MO",4,"all_sports","participation rate","gender",2011,"Female",0.0973822935787688,"NONE","total"
"124","Midwest","MO",4,"all_sports","participation rate","gender",2012,"Female",0.105969711925494,"NONE","total"
"125","Midwest","MO",4,"all_sports","participation rate","gender",2013,"Female",0.103224613375519,"NONE","total"
"126","Midwest","MO",4,"all_sports","participation rate","gender",2014,"Female",0.107605291590711,"NONE","total"
"127","Midwest","MO",4,"all_sports","participation rate","gender",2015,"Female",0.103785026965589,"NONE","total"
"128","Midwest","MO",4,"all_sports","participation rate","gender",2016,"Female",0.106578260108175,"NONE","total"
"129","Midwest","MO",4,"all_sports","participation rate","gender",2017,"Female",0.102057961343025,"NONE","total"
"130","Midwest","MO",4,"all_sports","participation rate","gender",2018,"Female",0.0947412727125189,"NONE","total"
"131","Midwest","MO",4,"all_sports","participation rate","age",2009,"18-24",0.190852161857135,"NONE","total"
"132","Midwest","MO",4,"all_sports","participation rate","age",2010,"18-24",0.186961562004993,"NONE","total"
"133","Midwest","MO",4,"all_sports","participation rate","age",2011,"18-24",0.18289539641301,"NONE","total"
"134","Midwest","MO",4,"all_sports","participation rate","age",2012,"18-24",0.194962996186659,"NONE","total"
"135","Midwest","MO",4,"all_sports","participation rate","age",2013,"18-24",0.190731128163657,"NONE","total"
"136","Midwest","MO",4,"all_sports","participation rate","age",2014,"18-24",0.193292304072376,"NONE","total"
"137","Midwest","MO",4,"all_sports","participation rate","age",2015,"18-24",0.184560151877217,"NONE","total"
"138","Midwest","MO",4,"all_sports","participation rate","age",2016,"18-24",0.183223395317405,"NONE","total"
"139","Midwest","MO",4,"all_sports","participation rate","age",2017,"18-24",0.172897215058107,"NONE","total"
"140","Midwest","MO",4,"all_sports","participation rate","age",2018,"18-24",0.160857848054124,"NONE","total"
"141","Midwest","MO",4,"all_sports","participation rate","age",2009,"25-34",0.218988135753817,"NONE","total"
"142","Midwest","MO",4,"all_sports","participation rate","age",2010,"25-34",0.215818353615989,"NONE","total"
"143","Midwest","MO",4,"all_sports","participation rate","age",2011,"25-34",0.208262825573829,"NONE","total"
"144","Midwest","MO",4,"all_sports","participation rate","age",2012,"25-34",0.216626356189943,"NONE","total"
"145","Midwest","MO",4,"all_sports","participation rate","age",2013,"25-34",0.211349775304857,"NONE","total"
"146","Midwest","MO",4,"all_sports","participation rate","age",2014,"25-34",0.212736735990039,"NONE","total"
"147","Midwest","MO",4,"all_sports","participation rate","age",2015,"25-34",0.204680238787736,"NONE","total"
"148","Midwest","MO",4,"all_sports","participation rate","age",2016,"25-34",0.204176533258396,"NONE","total"
"149","Midwest","MO",4,"all_sports","participation rate","age",2017,"25-34",0.194516727227374,"NONE","total"
"150","Midwest","MO",4,"all_sports","participation rate","age",2018,"25-34",0.181637844352456,"NONE","total"
"151","Midwest","MO",4,"all_sports","participation rate","age",2009,"35-44",0.216280703652802,"NONE","total"
"152","Midwest","MO",4,"all_sports","participation rate","age",2010,"35-44",0.210323321353951,"NONE","total"
"153","Midwest","MO",4,"all_sports","participation rate","age",2011,"35-44",0.203450061889122,"NONE","total"
"154","Midwest","MO",4,"all_sports","participation rate","age",2012,"35-44",0.215390601603827,"NONE","total"
"155","Midwest","MO",4,"all_sports","participation rate","age",2013,"35-44",0.213004263117775,"NONE","total"
"156","Midwest","MO",4,"all_sports","participation rate","age",2014,"35-44",0.216118520214488,"NONE","total"
"157","Midwest","MO",4,"all_sports","participation rate","age",2015,"35-44",0.209626092469085,"NONE","total"
"158","Midwest","MO",4,"all_sports","participation rate","age",2016,"35-44",0.210708775466648,"NONE","total"
"159","Midwest","MO",4,"all_sports","participation rate","age",2017,"35-44",0.206598306030651,"NONE","total"
"160","Midwest","MO",4,"all_sports","participation rate","age",2018,"35-44",0.198857211627226,"NONE","total"
"161","Midwest","MO",4,"all_sports","participation rate","age",2009,"45-54",0.230601094002569,"NONE","total"
"162","Midwest","MO",4,"all_sports","participation rate","age",2010,"45-54",0.220441244883756,"NONE","total"
"163","Midwest","MO",4,"all_sports","participation rate","age",2011,"45-54",0.210023819397373,"NONE","total"
"164","Midwest","MO",4,"all_sports","participation rate","age",2012,"45-54",0.213100711642581,"NONE","total"
"165","Midwest","MO",4,"all_sports","participation rate","age",2013,"45-54",0.205519613458854,"NONE","total"
"166","Midwest","MO",4,"all_sports","participation rate","age",2014,"45-54",0.205853817964803,"NONE","total"
"167","Midwest","MO",4,"all_sports","participation rate","age",2015,"45-54",0.19989585255394,"NONE","total"
"168","Midwest","MO",4,"all_sports","participation rate","age",2016,"45-54",0.199862919483028,"NONE","total"
"169","Midwest","MO",4,"all_sports","participation rate","age",2017,"45-54",0.189373241114097,"NONE","total"
"170","Midwest","MO",4,"all_sports","participation rate","age",2018,"45-54",0.174474320943279,"NONE","total"
"171","Midwest","MO",4,"all_sports","participation rate","age",2009,"55-64",0.214269415165532,"NONE","total"
"172","Midwest","MO",4,"all_sports","participation rate","age",2010,"55-64",0.206014652163094,"NONE","total"
"173","Midwest","MO",4,"all_sports","participation rate","age",2011,"55-64",0.198527149563154,"NONE","total"
"174","Midwest","MO",4,"all_sports","participation rate","age",2012,"55-64",0.203418209326901,"NONE","total"
"175","Midwest","MO",4,"all_sports","participation rate","age",2013,"55-64",0.198066458761908,"NONE","total"
"176","Midwest","MO",4,"all_sports","participation rate","age",2014,"55-64",0.200356305215401,"NONE","total"
"177","Midwest","MO",4,"all_sports","participation rate","age",2015,"55-64",0.196873545786613,"NONE","total"
"178","Midwest","MO",4,"all_sports","participation rate","age",2016,"55-64",0.199259154046484,"NONE","total"
"179","Midwest","MO",4,"all_sports","participation rate","age",2017,"55-64",0.199068002136905,"NONE","total"
"180","Midwest","MO",4,"all_sports","participation rate","age",2018,"55-64",0.193866816851602,"NONE","total"
"181","Midwest","MO",4,"all_sports","participation rate","Residency",2009,"Resident",0.215798947879559,"NONE","total"
"182","Midwest","MO",4,"all_sports","participation rate","Residency",2010,"Resident",0.209337832951812,"NONE","total"
"183","Midwest","MO",4,"all_sports","participation rate","Residency",2011,"Resident",0.201807254820043,"NONE","total"
"184","Midwest","MO",4,"all_sports","participation rate","Residency",2012,"Resident",0.20953222296942,"NONE","total"
"185","Midwest","MO",4,"all_sports","participation rate","Residency",2013,"Resident",0.204397666168491,"NONE","total"
"186","Midwest","MO",4,"all_sports","participation rate","Residency",2014,"Resident",0.206218617836002,"NONE","total"
"187","Midwest","MO",4,"all_sports","participation rate","Residency",2015,"Resident",0.199763054388592,"NONE","total"
"188","Midwest","MO",4,"all_sports","participation rate","Residency",2016,"Resident",0.20014906603929,"NONE","total"
"189","Midwest","MO",4,"all_sports","participation rate","Residency",2017,"Resident",0.193293692682469,"NONE","total"
"190","Midwest","MO",4,"all_sports","participation rate","Residency",2018,"Resident",0.182736045952595,"NONE","total"
"191","Midwest","MO",4,"all_sports","participation rate","Residency",2009,"Nonresident",0,"NONE","total"
"192","Midwest","MO",4,"all_sports","participation rate","Residency",2010,"Nonresident",0,"NONE","total"
"193","Midwest","MO",4,"all_sports","participation rate","Residency",2011,"Nonresident",0,"NONE","total"
"194","Midwest","MO",4,"all_sports","participation rate","Residency",2012,"Nonresident",0,"NONE","total"
"195","Midwest","MO",4,"all_sports","participation rate","Residency",2013,"Nonresident",0,"NONE","total"
"196","Midwest","MO",4,"all_sports","participation rate","Residency",2014,"Nonresident",0,"NONE","total"
"197","Midwest","MO",4,"all_sports","participation rate","Residency",2015,"Nonresident",0,"NONE","total"
"198","Midwest","MO",4,"all_sports","participation rate","Residency",2016,"Nonresident",0,"NONE","total"
"199","Midwest","MO",4,"all_sports","participation rate","Residency",2017,"Nonresident",0,"NONE","total"
"200","Midwest","MO",4,"all_sports","participation rate","Residency",2018,"Nonresident",0,"NONE","total"
"201","Midwest","MO",4,"all_sports","churn","All",2010,"All",0.339025778811733,"NONE","total"
"202","Midwest","MO",4,"all_sports","churn","All",2011,"All",0.34436049796575,"NONE","total"
"203","Midwest","MO",4,"all_sports","churn","All",2012,"All",0.318681486874888,"NONE","total"
"204","Midwest","MO",4,"all_sports","churn","All",2013,"All",0.340240629065922,"NONE","total"
"205","Midwest","MO",4,"all_sports","churn","All",2014,"All",0.331220368256574,"NONE","total"
"206","Midwest","MO",4,"all_sports","churn","All",2015,"All",0.344818671711858,"NONE","total"
"207","Midwest","MO",4,"all_sports","churn","All",2016,"All",0.340122168716709,"NONE","total"
"208","Midwest","MO",4,"all_sports","churn","All",2017,"All",0.354324176102418,"NONE","total"
"209","Midwest","MO",4,"all_sports","churn","All",2018,"All",0.361817742892832,"NONE","total"
"210","Midwest","MO",4,"all_sports","churn","Residency",2010,"Resident",0.273742807526988,"NONE","total"
"211","Midwest","MO",4,"all_sports","churn","Residency",2011,"Resident",0.278562402438118,"NONE","total"
"212","Midwest","MO",4,"all_sports","churn","Residency",2012,"Resident",0.255244190052204,"NONE","total"
"213","Midwest","MO",4,"all_sports","churn","Residency",2013,"Resident",0.27871335820287,"NONE","total"
