state,year,pop_state
Alabama,2e3,4452173
Alaska,2e3,627963
Arizona,2e3,5160586
Arkansas,2e3,2678588
California,2e3,33987977
Colorado,2e3,4326921
Connecticut,2e3,3411777
Delaware,2e3,786373
District of Columbia,2e3,572046
Florida,2e3,16047515
Georgia,2e3,8227303
Hawaii,2e3,1213519
Idaho,2e3,1299430
Illinois,2e3,12434161
Indiana,2e3,6091866
Iowa,2e3,2929067
Kansas,2e3,2693681
Kentucky,2e3,4049021
Louisiana,2e3,4471885
Maine,2e3,1277072
Maryland,2e3,5311034
Massachusetts,2e3,6361104
Michigan,2e3,9952450
Minnesota,2e3,4933692
Mississippi,2e3,2848353
Missouri,2e3,5607285
Montana,2e3,903773
Nebraska,2e3,1713820
Nevada,2e3,2018741
New Hampshire,2e3,1239882
New Jersey,2e3,8430621
New Mexico,2e3,1821204
New York,2e3,19001780
North Carolina,2e3,8081614
North Dakota,2e3,642023
Ohio,2e3,11363543
Oklahoma,2e3,3454365
Oregon,2e3,3429708
Pennsylvania,2e3,12284173
Rhode Island,2e3,1050268
South Carolina,2e3,4024223
South Dakota,2e3,755844
Tennessee,2e3,5703719
Texas,2e3,20944499
Utah,2e3,2244502
Vermont,2e3,609618
Virginia,2e3,7105817
Washington,2e3,5910512
West Virginia,2e3,1807021
Wisconsin,2e3,5373999
Wyoming,2e3,494300
Alabama,2001,4467634
Alaska,2001,633714
Arizona,2001,5273477
Arkansas,2001,2691571
California,2001,34479458
Colorado,2001,4425687
Connecticut,2001,3432835
Delaware,2001,795699
District of Columbia,2001,574504
Florida,2001,16356966
Georgia,2001,8377038
Hawaii,2001,1225948
Idaho,2001,1319962
Illinois,2001,12488445
Indiana,2001,6127760
Iowa,2001,2931997
Kansas,2001,2702162
Kentucky,2001,4068132
Louisiana,2001,4477875
Maine,2001,1285692
Maryland,2001,5374691
Massachusetts,2001,6397634
Michigan,2001,9991120
Minnesota,2001,4982796
Mississippi,2001,2852994
Missouri,2001,5641142
Montana,2001,906961
Nebraska,2001,1719836
Nevada,2001,2098399
New Hampshire,2001,1255517
New Jersey,2001,8492671
New Mexico,2001,1831690
New York,2001,19082838
North Carolina,2001,8210122
North Dakota,2001,639062
Ohio,2001,11387404
Oklahoma,2001,3467100
Oregon,2001,3467937
Pennsylvania,2001,12298970
Rhode Island,2001,1057142
South Carolina,2001,4064995
South Dakota,2001,757972
Tennessee,2001,5750789
Texas,2001,21319622
Utah,2001,2283715
Vermont,2001,612223
Virginia,2001,7198362
Washington,2001,5985722
West Virginia,2001,1801481
Wisconsin,2001,5406835
Wyoming,2001,494657
Alabama,2002,4480089
Alaska,2002,642337
Arizona,2002,5396255
Arkansas,2002,2705927
California,2002,34871843
Colorado,2002,4490406
Connecticut,2002,3458749
Delaware,2002,806169
District of Columbia,2002,573158
Florida,2002,16689370
Georgia,2002,8508256
Hawaii,2002,1239613
Idaho,2002,1340372
Illinois,2002,12525556
Indiana,2002,6155967
Iowa,2002,2934234
Kansas,2002,2713535
Kentucky,2002,4089875
Louisiana,2002,4497267
Maine,2002,1295960
Maryland,2002,5440389
Massachusetts,2002,6417206
Michigan,2002,10015710
Minnesota,2002,5018935
Mississippi,2002,2858681
Missouri,2002,5674825
Montana,2002,911667
Nebraska,2002,1728292
Nevada,2002,2173791
New Hampshire,2002,1269089
New Jersey,2002,8552643
New Mexico,2002,1855309
New York,2002,19137800
North Carolina,2002,8326201
North Dakota,2002,638168
