state,year,sex,agecat,pop
Alabama,2008,Male,0-17,580395.3309235078
Alabama,2008,Male,18-24,237103.15441224058
Alabama,2008,Male,25-34,294052.2036187275
Alabama,2008,Male,35-44,311075.2457701621
Alabama,2008,Male,45-54,332993.0507915821
Alabama,2008,Male,55-64,266550.8247527771
Alabama,2008,Male,65+,266429.68212498655
Alabama,2008,Female,0-17,553242.3622597981
Alabama,2008,Female,18-24,235669.46645359482
Alabama,2008,Female,25-34,303836.7234649882
Alabama,2008,Female,35-44,322941.2162211884
Alabama,2008,Female,45-54,353228.87552632263
Alabama,2008,Female,55-64,291151.7888029476
Alabama,2008,Female,65+,369536.0748771764
Alabama,2009,Male,0-17,585282.8384397656
Alabama,2009,Male,18-24,239099.79943602867
Alabama,2009,Male,25-34,296528.4164322798
Alabama,2009,Male,35-44,313694.8095757568
Alabama,2009,Male,45-54,335797.18437414523
Alabama,2009,Male,55-64,268795.4485290763
Alabama,2009,Male,65+,268673.2857595438
Alabama,2009,Female,0-17,557901.2147001761
Alabama,2009,Female,18-24,237654.0383949501
Alabama,2009,Female,25-34,306395.3316937749
Alabama,2009,Female,35-44,325660.7033319463
Alabama,2009,Female,45-54,356203.41493439674
Alabama,2009,Female,55-64,293603.57723115926
Alabama,2009,Female,65+,372647.937167
Alabama,2010,Male,0-17,588666.8949124388
Alabama,2010,Male,18-24,240482.254500068
Alabama,2010,Male,25-34,298242.9189617478
Alabama,2010,Male,35-44,315508.5667561634
Alabama,2010,Male,45-54,337738.7356390278
Alabama,2010,Male,55-64,270349.6013551608
Alabama,2010,Male,65+,270226.73225070135
Alabama,2010,Female,0-17,561126.9529120658
Alabama,2010,Female,18-24,239028.1341894403
Alabama,2010,Female,25-34,308166.88390292425
Alabama,2010,Female,35-44,327543.64631032513
Alabama,2010,Female,45-54,358262.9533194798
Alabama,2010,Female,55-64,295301.1685847307
Alabama,2010,Female,65+,374802.5564057258
Alabama,2011,Male,0-17,585307.4094199297
Alabama,2011,Male,18-24,241876.22459885615
Alabama,2011,Male,25-34,299260.9886688023
Alabama,2011,Male,35-44,309616.93208780175
Alabama,2011,Male,45-54,338404.33205165586
Alabama,2011,Male,55-64,277575.67347428843
Alabama,2011,Male,65+,275855.24246412376
Alabama,2011,Female,0-17,559158.2732260696
Alabama,2011,Female,18-24,240431.7499140587
Alabama,2011,Female,25-34,309775.6322456136
Alabama,2011,Female,35-44,322337.2046094893
Alabama,2011,Female,45-54,357875.9316690484
Alabama,2011,Female,55-64,302869.6483082194
Alabama,2011,Female,65+,378488.75726204365
Alabama,2012,Male,0-17,582265.4807496914
Alabama,2012,Male,18-24,243101.34695517953
Alabama,2012,Male,25-34,301490.9900869231
Alabama,2012,Male,35-44,305391.9657959285
Alabama,2012,Male,45-54,336402.2026723736
Alabama,2012,Male,55-64,284121.0641392277
Alabama,2012,Male,65+,283296.5168188229
Alabama,2012,Female,0-17,557009.9390470736
Alabama,2012,Female,18-24,241418.98818041722
Alabama,2012,Female,25-34,311170.85306717607
Alabama,2012,Female,35-44,318675.4432877304
Alabama,2012,Female,45-54,355765.96064911626
Alabama,2012,Female,55-64,310135.6328984038
Alabama,2012,Female,65+,385317.6156519358
Alabama,2013,Male,0-17,577738.5873205485
Alabama,2013,Male,18-24,243458.64554598538
Alabama,2013,Male,25-34,304316.5130747819
Alabama,2013,Male,35-44,302818.84488851135
Alabama,2013,Male,45-54,333555.2636199161
Alabama,2013,Male,55-64,290018.21048462094
Alabama,2013,Male,65+,291815.8149071204
Alabama,2013,Female,0-17,552927.4190008204
Alabama,2013,Female,18-24,242248.8356266996
Alabama,2013,Female,25-34,312259.7908476631
Alabama,2013,Female,35-44,316554.5154113838
Alabama,2013,Female,45-54,352828.68304121646
Alabama,2013,Female,55-64,316738.70444235665
Alabama,2013,Female,65+,393180.17178837565
Alabama,2014,Male,0-17,573596.9413022207
Alabama,2014,Male,18-24,243686.15102088597
Alabama,2014,Male,25-34,305791.25093561667
Alabama,2014,Male,35-44,299266.8331204369
Alabama,2014,Male,45-54,329877.62038641854
Alabama,2014,Male,55-64,294679.3361386958
Alabama,2014,Male,65+,301148.47079568205
Alabama,2014,Female,0-17,550076.4703616556
Alabama,2014,Female,18-24,240652.61335855158
Alabama,2014,Female,25-34,315874.8989901359
Alabama,2014,Female,35-44,314669.7261415146
Alabama,2014,Female,45-54,348946.2893698998
Alabama,2014,Female,55-64,322501.84193505667
Alabama,2014,Female,65+,401712.5561432291
Alabama,2015,Male,0-17,569789.3276391022
Alabama,2015,Male,18-24,242463.09478286433
Alabama,2015,Male,25-34,306436.2113103494
Alabama,2015,Male,35-44,298747.5018941668
Alabama,2015,Male,45-54,324784.4277049323
Alabama,2015,Male,55-64,299041.86905200576
Alabama,2015,Male,65+,310754.26606936584
Alabama,2015,Female,0-17,547373.2183363626
Alabama,2015,Female,18-24,239068.3281400731
Alabama,2015,Female,25-34,318056.17904948024
Alabama,2015,Female,35-44,313511.0697591613
Alabama,2015,Female,45-54,343692.2430992295
Alabama,2015,Female,55-64,327514.1054108996
Alabama,2015,Female,65+,411928.157752007
Alabama,2016,Male,0-17,566057.8664407982
Alabama,2016,Male,18-24,240421.40066314628
Alabama,2016,Male,25-34,309664.04224996304
Alabama,2016,Male,35-44,297363.417122411
Alabama,2016,Male,45-54,320463.3901991339
Alabama,2016,Male,55-64,301658.2355028666
Alabama,2016,Male,65+,321992.8037637229
Alabama,2016,Female,0-17,544514.4384439362
Alabama,2016,Female,18-24,236457.18482063405
Alabama,2016,Female,25-34,319951.9108927109
Alabama,2016,Female,35-44,311805.4222145749
Alabama,2016,Female,45-54,339374.05634368095
Alabama,2016,Female,55-64,331003.48144681734
Alabama,2016,Female,65+,424017.3498956036
Alabama,2017,Male,0-17,565944.6352260291
Alabama,2017,Male,18-24,239125.32187563588
Alabama,2017,Male,25-34,310678.69834300573
Alabama,2017,Male,35-44,294453.661688008
Alabama,2017,Male,45-54,316147.01006499794
Alabama,2017,Male,55-64,304679.7362646062
Alabama,2017,Male,65+,331577.0762049992
Alabama,2017,Female,0-17,542272.4032282704
Alabama,2017,Female,18-24,234693.18537609797
Alabama,2017,Female,25-34,320562.0612310909
Alabama,2017,Female,35-44,310200.3090065476
Alabama,2017,Female,45-54,335491.62760311714
Alabama,2017,Female,55-64,335014.24328627344
Alabama,2017,Female,65+,434280.03060132096
Alabama,2018,Male,0-17,567424.8777726264
Alabama,2018,Male,18-24,239750.760219561
Alabama,2018,Male,25-34,311491.28635777696
Alabama,2018,Male,35-44,295223.812707918
Alabama,2018,Male,45-54,316973.90058776224
Alabama,2018,Male,55-64,305476.6338419192
Alabama,2018,Male,65+,332444.3244570812
Alabama,2018,Female,0-17,543690.7304517159
Alabama,2018,Female,18-24,235307.03135460324
