timeframe,group,segment,category,year,metric,value,state
full-year,all_sports,age,18-24,2009,churn,0.37325895789,FL
full-year,all_sports,age,18-24,2010,churn,0.36402663919,FL
full-year,all_sports,age,18-24,2011,churn,0.35287594556,FL
full-year,all_sports,age,18-24,2012,churn,0.36561383174,FL
full-year,all_sports,age,18-24,2013,churn,0.35007723951,FL
full-year,all_sports,age,18-24,2014,churn,0.35607339863,FL
full-year,all_sports,age,18-24,2015,churn,0.35460755984000003,FL
full-year,all_sports,age,18-24,2016,churn,0.36608782626999997,FL
full-year,all_sports,age,18-24,2017,churn,0.36993009800000004,FL
full-year,all_sports,age,18-24,2018,churn,0.24544847567000003,FL
full-year,all_sports,age,25-34,2009,churn,0.41264950979,FL
full-year,all_sports,age,25-34,2010,churn,0.40593193662,FL
full-year,all_sports,age,25-34,2011,churn,0.39468769945,FL
full-year,all_sports,age,25-34,2012,churn,0.40879787344999996,FL
full-year,all_sports,age,25-34,2013,churn,0.39542161084,FL
full-year,all_sports,age,25-34,2014,churn,0.40166067832,FL
full-year,all_sports,age,25-34,2015,churn,0.39505712985,FL
full-year,all_sports,age,25-34,2016,churn,0.40210164517,FL
full-year,all_sports,age,25-34,2017,churn,0.4117220929,FL
full-year,all_sports,age,25-34,2018,churn,0.27522929829,FL
full-year,all_sports,age,35-44,2009,churn,0.46774777354999997,FL
full-year,all_sports,age,35-44,2010,churn,0.46259428757000004,FL
full-year,all_sports,age,35-44,2011,churn,0.45150118622,FL
full-year,all_sports,age,35-44,2012,churn,0.46425287904,FL
full-year,all_sports,age,35-44,2013,churn,0.4495144974,FL
full-year,all_sports,age,35-44,2014,churn,0.45642833815000006,FL
full-year,all_sports,age,35-44,2015,churn,0.45239329797000005,FL
full-year,all_sports,age,35-44,2016,churn,0.45752979818999995,FL
full-year,all_sports,age,35-44,2017,churn,0.46820358164,FL
full-year,all_sports,age,35-44,2018,churn,0.32102575768,FL
full-year,all_sports,age,45-54,2009,churn,0.5023514221500001,FL
full-year,all_sports,age,45-54,2010,churn,0.49692653470000003,FL
full-year,all_sports,age,45-54,2011,churn,0.48530666786,FL
full-year,all_sports,age,45-54,2012,churn,0.50258987396,FL
full-year,all_sports,age,45-54,2013,churn,0.48994728776999996,FL
full-year,all_sports,age,45-54,2014,churn,0.50206395537,FL
full-year,all_sports,age,45-54,2015,churn,0.5043258805499999,FL
full-year,all_sports,age,45-54,2016,churn,0.50476073944,FL
full-year,all_sports,age,45-54,2017,churn,0.51429656903,FL
full-year,all_sports,age,45-54,2018,churn,0.35734059037,FL
full-year,all_sports,age,55-64,2009,churn,0.50957307389,FL
full-year,all_sports,age,55-64,2010,churn,0.5065537894500001,FL
full-year,all_sports,age,55-64,2011,churn,0.49451655238000003,FL
full-year,all_sports,age,55-64,2012,churn,0.51305317377,FL
full-year,all_sports,age,55-64,2013,churn,0.50290467885,FL
