region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Southeast,FL,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2011,18-24,-0.024734352665477886,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2012,18-24,-0.055365884618225975,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2013,18-24,-0.019268535563204747,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2014,18-24,-0.06176307729336708,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2015,18-24,-0.06176307729336708,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2016,18-24,-0.06176307729336708,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2017,18-24,-0.06176307729336708,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2018,18-24,-0.06176307729336708,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2011,25-34,-0.016279125530570985,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2012,25-34,-0.04397893467499396,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2013,25-34,-0.008228709827189994,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2014,25-34,-0.04094967898760324,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2015,25-34,-0.04094967898760324,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2016,25-34,-0.04094967898760324,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2017,25-34,-0.04094967898760324,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2018,25-34,-0.04094967898760324,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2011,35-44,-0.011017660096780867,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2012,35-44,-0.03499785537388188,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2013,35-44,-0.006754977593741211,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2014,35-44,-0.038501429377684075,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2015,35-44,-0.038501429377684075,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2016,35-44,-0.038501429377684075,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2017,35-44,-0.038501429377684075,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2018,35-44,-0.038501429377684075,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2011,45-54,-0.010798988936434578,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2012,45-54,-0.03418245918524125,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2013,45-54,0.0014304990628119518,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2014,45-54,-0.02372437739816152,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2015,45-54,-0.02372437739816152,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2016,45-54,-0.02372437739816152,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2017,45-54,-0.02372437739816152,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2018,45-54,-0.02372437739816152,NONE,pct_change_all
Southeast,FL,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all
