region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Southeast,GA,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2011,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2012,18-24,-0.01175866245586517,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2013,18-24,-0.0158081103353581,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2014,18-24,-0.00873234273685876,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2015,18-24,0.004835904216381643,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2016,18-24,-0.0487820047829841,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2017,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2018,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2011,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2012,25-34,0.004968535199119459,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2013,25-34,-0.028322009622064524,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2014,25-34,-0.0033557079176192387,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2015,25-34,8.875679643245233e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2016,25-34,-0.042017875893701866,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2017,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2018,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2011,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2012,35-44,0.006794919143471752,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2013,35-44,-0.02170791798178308,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2014,35-44,-0.015656651218395535,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2015,35-44,-0.0024942905444430698,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2016,35-44,-0.044929469798915364,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2017,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2018,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2011,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2012,45-54,1.8547348868618726e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2013,45-54,-0.03262981533691121,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2014,45-54,-0.01817452559800243,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2015,45-54,-0.013796491187502724,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2016,45-54,-0.05228429134752021,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2017,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2018,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2011,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2012,55-64,-0.005910916115949318,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2013,55-64,-0.06732339342210407,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2014,55-64,-0.025281468491634134,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2015,55-64,-0.03756638641416535,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2016,55-64,-0.051908022455409195,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2017,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,age,2018,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2010,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2011,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2012,all,4.7032663967980074e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2013,all,-0.03158348808557491,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2014,all,-0.013377802559078758,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2015,all,-0.008769312996279317,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2016,all,-0.049400857657240886,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2017,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,all,2018,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2010,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2011,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2012,female,-0.007069503097566692,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2013,female,-0.03258897984276205,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2014,female,-0.015988324081582694,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2015,female,-0.007403110835600467,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2016,female,-0.05251546235830024,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2017,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2018,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2010,male,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2011,male,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2012,male,0.002136998345491959,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2013,male,-0.032086273892055546,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2014,male,-0.013987413601507188,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2015,male,-0.013061240292114413,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2016,male,-0.04940149647709982,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2017,male,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,gender,2018,male,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2011,nonresident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2012,nonresident,-0.014073123338345126,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2013,nonresident,0.005187203548075368,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2014,nonresident,-0.001731726390786622,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2015,nonresident,-4.156299194611749e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2016,nonresident,1.5343109278354285e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2017,nonresident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2018,nonresident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2010,resident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2011,resident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2012,resident,0.0069736787900176265,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2013,resident,-0.03804306974578779,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2014,resident,-0.014555582519194121,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2015,resident,-0.010242701013003369,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2016,resident,-0.06150475691962381,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2017,resident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,churn,residency,2018,resident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2009,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2010,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2011,18-24,0.017146033069334446,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2012,18-24,0.02934265887109994,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2013,18-24,0.05898980783522667,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2014,18-24,0.03616677318696192,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2015,18-24,-0.022229478852968568,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2016,18-24,0.04059620260993259,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2017,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2018,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2009,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2010,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2011,25-34,0.003786469571831312,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2012,25-34,0.002256722810196434,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2013,25-34,0.03725069644750142,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2014,25-34,0.03339354470694491,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2015,25-34,-1.6866379938207718e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2016,25-34,0.037618372119771495,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2017,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2018,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2009,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2010,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2011,35-44,-0.022222069335608285,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2012,35-44,-0.017499173239704197,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2013,35-44,7.018347966827564e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2014,35-44,0.013883720264506341,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2015,35-44,-0.0171734711163815,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2016,35-44,0.020123672246999763,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2017,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2018,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2009,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2010,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2011,45-54,-0.001080641180433724,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2012,45-54,-0.013268869908981028,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2013,45-54,0.017995154369865055,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2014,45-54,0.02251015483210456,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2015,45-54,0.00587099416801576,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2016,45-54,0.02788442893154935,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2017,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2018,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2009,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2010,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2011,55-64,0.013349281859768625,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2012,55-64,0.0016399203467260162,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2013,55-64,0.05903942858684994,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2014,55-64,0.040356420841615274,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2015,55-64,0.03602309004956033,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2016,55-64,0.05221886845983498,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2017,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,age,2018,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2009,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2010,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2011,all,-3.998608015954279e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2012,all,-0.0031281957725003305,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2013,all,0.03072028206850235,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2014,all,0.02798352166568659,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2015,all,0.001621040888894523,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2016,all,0.03469393243779851,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2017,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,all,2018,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2009,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2010,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2011,female,0.0035075966915082664,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2012,female,0.01630847966771125,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2013,female,0.051214683853781806,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2014,female,0.06653591481458983,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2015,female,0.004279972009308532,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2016,female,0.06328590873736065,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2017,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2018,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2009,male,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2010,male,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2011,male,-0.0012565607361487638,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2012,male,-0.007409964236914612,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2013,male,0.026097620698666415,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2014,male,0.01907489181135269,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2015,male,9.780037703324427e-4,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2016,male,0.027756426008748218,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2017,male,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,gender,2018,male,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2009,nonresident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2010,nonresident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2011,nonresident,-0.07121220465936003,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2012,nonresident,-0.0025053368121442125,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2013,nonresident,0.013509296000713362,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2014,nonresident,0.027201008856824447,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2015,nonresident,0.04736549085666158,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2016,nonresident,0.023742997723834317,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2017,nonresident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2018,nonresident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2009,resident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2010,resident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2011,resident,0.009394758893882837,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2012,resident,-0.003207468496055757,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2013,resident,0.032912307666099455,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2014,resident,0.02808131192722755,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2015,resident,-0.004090726794706118,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2016,resident,0.036131942082938094,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2017,resident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants,residency,2018,resident,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2014,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2015,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2016,18-24,0.027550610001340663,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2017,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2018,18-24,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2014,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2015,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2016,25-34,0.033816916080184965,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2017,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2018,25-34,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2014,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2015,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2016,35-44,0.03174789817155624,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2017,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2018,35-44,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2014,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2015,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2016,45-54,0.01783407379399439,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2017,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2018,45-54,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2014,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2015,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2016,55-64,0.048223350253807105,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2017,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,age,2018,55-64,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,all,2014,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,all,2015,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,all,2016,all,0.031100266754320535,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,all,2017,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,all,2018,all,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,gender,2014,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,gender,2015,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,gender,2016,female,0.04712660658886098,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,gender,2017,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,gender,2018,female,0,NONE,pct_change_yr,NA
Southeast,GA,4,all_sports,participants - recruited,gender,2014,male,0,NONE,pct_change_yr,NA
