region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Southeast,GA,4,hunt,participants,all,2010,all,281677,NONE,total,NA
Southeast,GA,4,hunt,participants,all,2011,all,285630,NONE,total,NA
Southeast,GA,4,hunt,participants,all,2012,all,285256,NONE,total,NA
Southeast,GA,4,hunt,participants,all,2013,all,294531,NONE,total,NA
Southeast,GA,4,hunt,participants,all,2014,all,297797,NONE,total,NA
Southeast,GA,4,hunt,participants,all,2015,all,303935,NONE,total,NA
Southeast,GA,4,hunt,participants,all,2016,all,309279,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2010,resident,226592,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2011,resident,233302,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2012,resident,234050,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2013,resident,243498,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2014,resident,245241,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2015,resident,249031,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2016,resident,253279,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2010,nonresident,55085,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2011,nonresident,52328,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2012,nonresident,51206,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2013,nonresident,51033,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2014,nonresident,52556,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2015,nonresident,54904,NONE,total,NA
Southeast,GA,4,hunt,participants,residency,2016,nonresident,56e3,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2010,male,260164,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2011,male,263041,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2012,male,261607,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2013,male,268868,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2014,male,270919,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2015,male,274585,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2016,male,278009,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2010,female,21513,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2011,female,22589,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2012,female,23649,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2013,female,25663,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2014,female,26878,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2015,female,29350,NONE,total,NA
Southeast,GA,4,hunt,participants,gender,2016,female,31270,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2010,18-24,34061,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2011,18-24,34862,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2012,18-24,35688,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2013,18-24,38002,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2014,18-24,38282,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2015,18-24,38813,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2016,18-24,40296,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2010,25-34,57194,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2011,25-34,57756,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2012,25-34,58267,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2013,25-34,60968,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2014,25-34,61391,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2015,25-34,62513,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2016,25-34,64232,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2010,35-44,70926,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2011,35-44,70319,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2012,35-44,69095,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2013,35-44,69255,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2014,35-44,68576,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2015,35-44,68322,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2016,35-44,67646,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2010,45-54,71019,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2011,45-54,72292,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2012,45-54,71576,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2013,45-54,72289,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2014,45-54,73159,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2015,45-54,74534,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2016,45-54,75244,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2010,55-64,48477,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2011,55-64,50401,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2012,55-64,50631,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2013,55-64,54015,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2014,55-64,56389,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2015,55-64,59754,NONE,total,NA
Southeast,GA,4,hunt,participants,age,2016,55-64,61861,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,all,2015,all,68677,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,all,2016,all,68426,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,residency,2015,resident,41105,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,residency,2016,resident,40621,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,residency,2015,nonresident,27572,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,residency,2016,nonresident,27805,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,gender,2015,male,55617,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,gender,2016,male,55155,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,gender,2015,female,13060,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,gender,2016,female,13271,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2015,18-24,12227,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2016,18-24,12476,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2015,25-34,17354,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2016,25-34,17574,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2015,35-44,14765,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2016,35-44,14469,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2015,45-54,13663,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2016,45-54,13428,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2015,55-64,10667,NONE,total,NA
Southeast,GA,4,hunt,participants - recruited,age,2016,55-64,10478,NONE,total,NA
Southeast,GA,4,hunt,churn,all,2011,all,0.38610891198074393,NONE,total,NA
Southeast,GA,4,hunt,churn,all,2012,all,0.3882085215138466,NONE,total,NA
Southeast,GA,4,hunt,churn,all,2013,all,0.3797781641753372,NONE,total,NA
Southeast,GA,4,hunt,churn,all,2014,all,0.37589252065147644,NONE,total,NA
Southeast,GA,4,hunt,churn,all,2015,all,0.36430185663388154,NONE,total,NA
Southeast,GA,4,hunt,churn,all,2016,all,0.3586029907710531,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2011,resident,0.32797274396271714,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2012,resident,0.3362465816838261,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2013,resident,0.32786584063234353,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2014,resident,0.32658584464759466,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2015,resident,0.3112856333157995,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2016,resident,0.30278961253819797,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2011,nonresident,0.6252518834528457,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2012,nonresident,0.6198784589512307,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2013,nonresident,0.6170565949302816,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2014,nonresident,0.6111535672995905,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2015,nonresident,0.6116903873963011,NONE,total,NA
Southeast,GA,4,hunt,churn,residency,2016,nonresident,0.6117587061052018,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2011,male,0.368884483286029,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2012,male,0.37104564207367946,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2013,male,0.36211669178482453,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2014,male,0.3581424055959751,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2015,male,0.3465426727549015,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2016,male,0.3395818894548282,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2011,female,0.5922734722547413,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2012,female,0.5867462899416195,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2013,female,0.5780206694169183,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2014,female,0.5647215581769017,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2015,female,0.5440587199940081,NONE,total,NA
Southeast,GA,4,hunt,churn,gender,2016,female,0.5355929877525816,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2011,18-24,0.4796981885440827,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2012,18-24,0.47904535153896904,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2013,18-24,0.47232885924846585,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2014,18-24,0.4682385137624336,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2015,18-24,0.4587774294670846,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2016,18-24,0.444037926414511,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2011,25-34,0.4310592020141973,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2012,25-34,0.43577179464981386,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2013,25-34,0.42544537122850373,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2014,25-34,0.43224314394436425,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2015,25-34,0.4247340728795061,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2016,25-34,0.4128167391860763,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2011,35-44,0.3619265149592533,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2012,35-44,0.366924072414921,NONE,total,NA
Southeast,GA,4,hunt,churn,age,2013,35-44,0.36312849162011174,NONE,total,NA
