region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Midwest,IA,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2011,18-24,-0.037350086201349775,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2012,18-24,-0.12267070699573102,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2013,18-24,0.018593231716094283,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2014,18-24,-0.0440664651003166,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2015,18-24,-0.06366323994084196,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2016,18-24,-0.041048223369969106,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2017,18-24,-0.013105188595840287,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2018,18-24,0.04117212854023772,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2011,25-34,-0.04821414986322834,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2012,25-34,-0.11709861041840636,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2013,25-34,0.020041957570709028,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2014,25-34,-0.07160878916329863,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2015,25-34,-0.09346470614467749,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2016,25-34,-0.07523363044189191,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2017,25-34,-0.036266239134735645,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2018,25-34,0.012152527775761424,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2011,35-44,-0.06182043198167738,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2012,35-44,-0.12100278742494976,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2013,35-44,0.018320488951539496,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2014,35-44,-0.07575449805610975,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2015,35-44,-0.10680588262035909,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2016,35-44,-0.0876958577488875,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2017,35-44,-0.06000854299189973,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2018,35-44,0.02250261573750885,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2011,45-54,-0.046056670917906196,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2012,45-54,-0.13201404602600864,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2013,45-54,0.05840980703610959,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2014,45-54,-0.06913059266727672,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2015,45-54,-0.0989717965288148,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2016,45-54,-0.06507282256878645,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2017,45-54,-0.02646605280555264,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2018,45-54,0.042788377139520106,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2011,55-64,-0.04737309231515858,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2012,55-64,-0.13753831745683787,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2013,55-64,0.048204931846055725,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2014,55-64,-0.08458795246275305,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2015,55-64,-0.14567304598484393,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2016,55-64,-0.09681447391080067,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2017,55-64,-0.056013176139442504,NONE,pct_change_all
Midwest,IA,4,all_sports,churn,age,2018,55-64,0.004652311520487937,NONE,pct_change_all
