region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Midwest,IA,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2011,18-24,-0.037350086201349775,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2012,18-24,-0.08532062079438124,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2013,18-24,0.1412639387118253,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2014,18-24,-0.06265969681641088,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2015,18-24,-0.01959677484052535,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2016,18-24,0.02261501657087285,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2017,18-24,0.027943034774128815,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2018,18-24,0.05427731713607801,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2011,25-34,-0.04821414986322834,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2012,25-34,-0.06888446055517802,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2013,25-34,0.1371405679891154,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2014,25-34,-0.09165074673400767,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2015,25-34,-0.02185591698137885,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2016,25-34,0.018231075702785572,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2017,25-34,0.03896739130715627,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2018,25-34,0.04841876691049707,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2011,35-44,-0.06182043198167738,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2012,35-44,-0.059182355443272376,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2013,35-44,0.13932327637648925,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2014,35-44,-0.09407498700764924,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2015,35-44,-0.03105138456424934,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2016,35-44,0.019110024871471586,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2017,35-44,0.027687314756987772,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2018,35-44,0.08251115872940858,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2011,45-54,-0.046056670917906196,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2012,45-54,-0.08595737510810245,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2013,45-54,0.19042385306211823,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2014,45-54,-0.12754039970338632,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2015,45-54,-0.02984120386153807,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2016,45-54,0.033898973960028354,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2017,45-54,0.03860676976323381,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2018,45-54,0.06925442994507275,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2011,55-64,-0.04737309231515858,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2012,55-64,-0.0901652251416793,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2013,55-64,0.1857432493028936,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2014,55-64,-0.13279288430880878,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2015,55-64,-0.061085093522090864,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2016,55-64,0.04885857207404326,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2017,55-64,0.04080129777135816,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,age,2018,55-64,0.06066548765993044,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2010,all,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2011,all,-0.05026985590131538,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2012,all,-0.07627726597724682,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2013,all,0.15920608058798788,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2014,all,-0.09996662933064426,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2015,all,-0.031103304106746003,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2016,all,0.025436391458562083,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2017,all,0.03347745192626894,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,all,2018,all,0.060796775042907106,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2010,female,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2011,female,-0.03513495129106934,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2012,female,-0.08134028199100274,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2013,female,0.14480529344811405,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2014,female,-0.09781702164425728,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2015,female,-0.03530621225455976,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2016,female,2.845324719781443e-4,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2017,female,0.021527945358851806,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2018,female,0.0842779882680426,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2010,male,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2011,male,-0.04979996706425692,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2012,male,-0.07621401342103401,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2013,male,0.1505985018065652,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2014,male,-0.0940482971725682,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2015,male,-0.03634358767298075,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2016,male,0.03137610454922278,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2017,male,0.03163909605074585,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,gender,2018,male,0.046819998516110205,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2011,nonresident,0.012117429207637663,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2012,nonresident,-0.03832882532200861,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2013,nonresident,0.02166014464855662,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2014,nonresident,0.01547290930844068,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2015,nonresident,-0.050437958098087154,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2016,nonresident,0.01659340532692382,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2017,nonresident,-0.002441692474401342,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2018,nonresident,-0.03579480679930988,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2010,resident,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2011,resident,-0.053915881688552617,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2012,resident,-0.07710601229924868,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2013,resident,0.16880845641337014,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2014,resident,-0.10635859716134759,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2015,resident,-0.029397245311694773,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2016,resident,0.025057502130244158,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2017,resident,0.03540869006244353,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,churn,residency,2018,resident,0.06554773032518355,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,participants,age,2009,18-24,0,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,participants,age,2010,18-24,-0.0721886295307908,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,participants,age,2011,18-24,0.004514672686230248,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,participants,age,2012,18-24,0.09374773468648061,NONE,pct_change_yr,NA
Midwest,IA,4,all_sports,participants,age,2013,18-24,-0.04281477308501649,NONE,pct_change_yr,NA
