region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Midwest,MO,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2011,18-24,0.007044046548768786,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2012,18-24,-0.05816843060349285,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2013,18-24,-9.293639041670215e-4,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2014,18-24,-0.024838655268205438,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2015,18-24,0.021114389976770495,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2016,18-24,0.011555733122591406,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2017,18-24,0.06216916665179017,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2018,18-24,0.04828941065549572,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2011,25-34,0.009755166240741547,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2012,25-34,-0.05954875647502754,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2013,25-34,0.0044715373391014945,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2014,25-34,-0.02830237152631844,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2015,25-34,0.022169901635381392,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2016,25-34,0.01403042316881664,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2017,25-34,0.061687684259640704,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2018,25-34,0.04272479848706524,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2011,35-44,0.011882463493928934,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2012,35-44,-0.05356373260948165,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2013,35-44,0.008155320408511397,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2014,35-44,-0.021227572155875646,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2015,35-44,0.027624748591906563,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2016,35-44,0.012403909813915806,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2017,35-44,0.055355843862796655,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2018,35-44,0.0537260120513249,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2011,45-54,0.014008568848477945,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2012,45-54,-0.06343463746104723,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2013,45-54,0.005534404955368907,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2014,45-54,-0.021648656173153362,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2015,45-54,0.020599789023373838,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2016,45-54,0.01825807583058554,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2017,45-54,0.06048375824864336,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2018,45-54,0.053966693615098524,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2011,55-64,0.008319885264098336,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2012,55-64,-0.07197323941719652,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2013,55-64,-0.00946294333173538,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2014,55-64,-0.054430808733669914,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2015,55-64,-0.013650246712226182,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2016,55-64,-0.029219187402991544,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2017,55-64,0.00989629370329552,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,age,2018,55-64,-6.744387511743184e-4,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2010,all,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2011,all,0.010039685434885273,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2012,all,-0.06118508881355708,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2013,all,0.003630760498406563,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2014,all,-0.027431906819064433,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2015,all,0.018965634159646513,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2016,all,0.007992698564613732,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2017,all,0.05174231472625385,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,all,2018,all,0.03985395646875965,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2010,female,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2011,female,0.013280986343248917,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2012,female,-0.06254954446653369,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2013,female,0.012414289392444731,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2014,female,-0.038661418629367096,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2015,female,0.01783077286025908,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2016,female,-0.006048075374665909,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2017,female,0.0696155167695811,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2018,female,0.0604938010856396,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2010,male,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2011,male,0.014231361932467495,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2012,male,-0.05315033154385953,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2013,male,0.018744590600783935,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2014,male,-0.013959855309251078,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2015,male,0.03399061455807712,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2016,male,0.02855773947983317,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2017,male,0.19880776099821795,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,gender,2018,male,0.19232799189137606,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2011,nonresident,0.005208122415891971,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2012,nonresident,-0.027003351953736217,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2013,nonresident,-0.009059026883443457,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2014,nonresident,-0.02054367220232088,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2015,nonresident,-0.019795936862417266,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2016,nonresident,-0.02549615529849398,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2017,nonresident,-0.022095994886697206,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2018,nonresident,-0.041172766960345726,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2010,resident,0,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2011,resident,0.015455087891865204,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2012,resident,-0.06696093951944675,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2013,resident,0.02337323705124191,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2014,resident,-0.02461062321080272,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2015,resident,0.04051779383459285,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2016,resident,0.019226368385719887,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2017,resident,0.0809838404421527,NONE,pct_change_all
Midwest,MO,4,all_sports,churn,residency,2018,resident,0.06951105052816071,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2009,18-24,0,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2010,18-24,-0.026077293307603937,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2011,18-24,-0.055327609402216454,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2012,18-24,0.012432925566095255,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2013,18-24,0.001833874646023255,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2014,18-24,0.02631121281067395,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2015,18-24,-0.009630288689946111,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2016,18-24,-0.013694865220441853,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2017,18-24,-0.06379230876050834,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2018,18-24,-0.1188007567450606,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2009,25-34,0,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2010,25-34,-0.0203931373905481,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2011,25-34,-0.04758676144159604,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2012,25-34,0.002124419036900641,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2013,25-34,-0.00785873654917135,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2014,25-34,0.015502205472582966,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2015,25-34,-0.011645262616465412,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2016,25-34,-0.010688032269757583,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2017,25-34,-0.05513915256015688,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2018,25-34,-0.100505335942657,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2009,35-44,0,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2010,35-44,-0.05391033495776782,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2011,35-44,-0.10866808493181511,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2012,35-44,-0.07250441490765369,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2013,35-44,-0.0930819174438801,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2014,35-44,-0.08170867728144941,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2015,35-44,-0.11115446065953653,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2016,35-44,-0.10516433046214048,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2017,35-44,-0.11958341814042209,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2018,35-44,-0.14027091880229503,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2009,45-54,0,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2010,45-54,-0.0343413737355819,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2011,45-54,-0.08963506405918609,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2012,45-54,-0.0803676617160403,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2013,45-54,-0.12021457949126865,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2014,45-54,-0.13125556018209383,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2015,45-54,-0.1733900937140256,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2016,45-54,-0.1896093546279658,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2017,45-54,-0.2391329590850902,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2018,45-54,-0.2987024319184244,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2009,55-64,0,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2010,55-64,0.007215063974691084,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2011,55-64,-0.005733693312820422,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2012,55-64,0.041343017591296605,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2013,55-64,0.04187742189244152,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2014,55-64,0.07765259561595139,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2015,55-64,0.08314787384371114,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2016,55-64,0.11257731260706343,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2017,55-64,0.10977939192509542,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,age,2018,55-64,0.10251264687178073,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2009,all,0,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2010,all,-0.027026666803366926,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2011,all,-0.06477657223102884,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2012,all,-0.02594650074488803,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2013,all,-0.043364011863401525,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2014,all,-0.027964707052862112,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2015,all,-0.053666416767022246,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2016,all,-0.050293856180218394,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2017,all,-0.08149920647170467,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,all,2018,all,-0.11765889232097702,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2009,female,0,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2010,female,-0.030879089916528723,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2011,female,-0.07300419780732052,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2012,female,0.013035155877878454,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2013,female,-0.006261871620058219,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2014,female,0.03994438004972538,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2015,female,0.006321206447747137,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2016,female,0.001000956466464904,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2017,female,-0.04179755050057945,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2018,female,-0.07538020963658922,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2009,male,0,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2010,male,-0.025857160804355902,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2011,male,-0.06228570381355221,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2012,male,-0.03762909798749113,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2013,male,-0.05444852537103077,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2014,male,-0.048827641746076705,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2015,male,-0.07191352725548829,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2016,male,-0.06570139100282497,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2017,male,-0.09316314800051874,NONE,pct_change_all
Midwest,MO,4,all_sports,participants,gender,2018,male,-0.13014186902750777,NONE,pct_change_all
