region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Midwest,Midwest,4,all_sports,churn,age,2010,18-24,0,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2011,18-24,-0.011978434827122285,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2012,18-24,-0.0523228347832424,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2013,18-24,0.06476194688673201,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2014,18-24,-0.02004202431984591,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2015,18-24,0.010323540046436631,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2016,18-24,0.002601772035240881,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2017,18-24,0.03075764166267131,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2018,18-24,0.013117793405372691,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2010,25-34,0,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2011,25-34,-0.009136459478885708,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2012,25-34,-0.0524610926984609,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2013,25-34,0.078420820019504775,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2014,25-34,-0.033194679266617864,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2015,25-34,0.005068942823418355,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2016,25-34,0.005822255963491389,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2017,25-34,0.033869698786282605,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2018,25-34,0.013749382770383498,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2010,35-44,0,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2011,35-44,-0.011528979426884372,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2012,35-44,-0.04916929134917079,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2013,35-44,0.07620920457018447,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2014,35-44,-0.02978162303945463,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2015,35-44,-0.0030125478424495107,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2016,35-44,2.4610576353076627e-4,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2017,35-44,0.027445148674594178,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2018,35-44,0.027498623555082643,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2010,45-54,0,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2011,45-54,-0.008646415642717316,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2012,45-54,-0.05980063935922198,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2013,45-54,0.09416095748933126,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2014,45-54,-0.033565641418397116,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2015,45-54,-0.006609678232639338,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2016,45-54,0.010052926003414937,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2017,45-54,0.03323395589746387,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2018,45-54,0.024244714371546402,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2010,55-64,0,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2011,55-64,-0.008762348865945348,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2012,55-64,-0.052186528791062455,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2013,55-64,0.08772999488086444,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2014,55-64,-0.04445720002035324,AVG,pct_change_yr
Midwest,Midwest,4,all_sports,churn,age,2015,55-64,-0.021217328843243722,AVG,pct_change_yr
