region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Midwest,Midwest,4,all_sports,participants,age,2009,18-24,369751,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2009,25-34,560066,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2009,35-44,606009,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2009,45-54,709842,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2009,55-64,501427,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2010,18-24,397502.5,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2010,25-34,615923.75,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2010,35-44,635281.5,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2010,45-54,756236.25,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2010,55-64,561142.25,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2011,18-24,391573.5,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2011,25-34,609381,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2011,35-44,608068.5,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2011,45-54,728643.25,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2011,55-64,564521.5,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2012,18-24,414589.5,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2012,25-34,636064.25,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2012,35-44,620565.25,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2012,45-54,731351,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2012,55-64,589115.25,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2013,18-24,413618.5,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2013,25-34,629087.25,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2013,35-44,604769.25,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2013,45-54,699393,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2013,55-64,589139,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2014,18-24,415699.5,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2014,25-34,634261.75,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2014,35-44,600726.75,SUM,total,NA
Midwest,Midwest,4,all_sports,participants,age,2014,45-54,680064.5,SUM,total,NA
