region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Midwest,NE,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2011,18-24,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2012,18-24,-0.046699973687624005,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2013,18-24,0.006207912599987882,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2014,18-24,-0.010183471187256737,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2015,18-24,-0.003924182243022708,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2016,18-24,-0.003011270946834761,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2017,18-24,0.03420658905238268,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2018,18-24,0.05006365646946582,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2011,25-34,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2012,25-34,-0.04647088244831432,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2013,25-34,0.03438707611308682,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2014,25-34,0.010044654012872491,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2015,25-34,0.006357873582161469,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2016,25-34,0.02001948803355505,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2017,25-34,0.06168380814256671,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2018,25-34,0.08927336849289422,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2011,35-44,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2012,35-44,-0.04677924893879462,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2013,35-44,0.016140822770370697,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2014,35-44,2.9800859962608034e-4,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2015,35-44,-0.013447868319050536,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2016,35-44,-0.011964957929119146,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2017,35-44,0.019879616332285174,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2018,35-44,0.05337796563222511,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2011,45-54,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2012,45-54,-0.040664288055713926,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2013,45-54,0.03650081905454225,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2014,45-54,0.02926234459305601,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2015,45-54,0.013920594921465001,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2016,45-54,0.025330400840099684,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2017,45-54,0.06705633120781707,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2018,45-54,0.10100088223046824,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2011,55-64,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2012,55-64,-0.008982336896529398,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2013,55-64,0.047353346552986515,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2014,55-64,0.0334056693053852,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2015,55-64,0.005867889080379119,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2016,55-64,0.0037794376785656014,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2017,55-64,0.055395442730925365,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,age,2018,55-64,0.09437115394135608,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2010,all,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2011,all,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2012,all,-0.04583969126711655,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2013,all,0.0321775485482743,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2014,all,0.018469049954718993,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2015,all,3.493542292764412e-4,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2016,all,0.007466231385658988,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2017,all,0.05503788983378747,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,all,2018,all,0.09537801632327639,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2010,female,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2011,female,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2012,female,-0.07473201145322042,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2013,female,-0.005841362603763403,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2014,female,-0.027019430312698905,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2015,female,-0.0319235367681675,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2016,female,-0.03925085830877555,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2017,female,-0.004892880326428531,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2018,female,0.03038832822566826,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2010,male,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2011,male,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2012,male,-0.037741999592355566,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2013,male,0.034180201338376986,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2014,male,0.021816925556988206,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2015,male,-0.0035749391789039863,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2016,male,0.007595955140713772,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2017,male,0.057755599871429336,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,gender,2018,male,0.10018593315799142,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2011,nonresident,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2012,nonresident,-0.004695122657045518,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2013,nonresident,0.03170991620766485,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2014,nonresident,0.017870509389651068,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2015,nonresident,0.002951593004306906,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2016,nonresident,0.010291653775019803,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2017,nonresident,0.02898199252821848,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2018,nonresident,0.050150714636198294,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2010,resident,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2011,resident,0,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2012,resident,-0.06663518228572698,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2013,resident,0.03958929471190581,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2014,resident,0.026684667717581288,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2015,resident,0.004072599419208981,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2016,resident,0.0023102899747452577,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2017,resident,0.057992939565586446,NONE,pct_change_all
Midwest,NE,4,all_sports,churn,residency,2018,resident,0.09960461226279546,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2010,18-24,0,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2011,18-24,-0.029795800977854472,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2012,18-24,0.06494540967015644,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2013,18-24,0.059963010536660644,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2014,18-24,0.062140118249064714,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2015,18-24,0.07715668263292394,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2016,18-24,0.09114849621809208,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2017,18-24,0.0351092370760943,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2018,18-24,-0.0528498439234026,NONE,pct_change_all
Midwest,NE,4,all_sports,participants,age,2010,25-34,0,NONE,pct_change_all
