region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Midwest,NE,4,fish,participants,all,2010,all,161429,NONE,total,NA
Midwest,NE,4,fish,participants,all,2011,all,156011,NONE,total,NA
Midwest,NE,4,fish,participants,all,2012,all,175515,NONE,total,NA
Midwest,NE,4,fish,participants,all,2013,all,169158,NONE,total,NA
Midwest,NE,4,fish,participants,all,2014,all,167281,NONE,total,NA
Midwest,NE,4,fish,participants,all,2015,all,169157,NONE,total,NA
Midwest,NE,4,fish,participants,all,2016,all,173203,NONE,total,NA
Midwest,NE,4,fish,participants,all,2017,all,167032,NONE,total,NA
Midwest,NE,4,fish,participants,all,2018,all,150338,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2010,nonresident,22262,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2010,resident,139167,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2011,nonresident,20887,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2011,resident,135124,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2012,nonresident,23207,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2012,resident,152308,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2013,nonresident,22972,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2013,resident,146186,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2014,nonresident,23914,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2014,resident,143367,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2015,nonresident,24905,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2015,resident,144252,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2016,nonresident,25854,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2016,resident,147349,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2017,nonresident,25944,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2017,resident,141088,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2018,nonresident,23862,NONE,total,NA
Midwest,NE,4,fish,participants,residency,2018,resident,126476,NONE,total,NA
Midwest,NE,4,fish,participants,age,2010,18-24,23636,NONE,total,NA
Midwest,NE,4,fish,participants,age,2010,25-34,37821,NONE,total,NA
Midwest,NE,4,fish,participants,age,2010,35-44,35283,NONE,total,NA
Midwest,NE,4,fish,participants,age,2010,45-54,37136,NONE,total,NA
Midwest,NE,4,fish,participants,age,2010,55-64,27619,NONE,total,NA
Midwest,NE,4,fish,participants,age,2011,18-24,22564,NONE,total,NA
Midwest,NE,4,fish,participants,age,2011,25-34,37095,NONE,total,NA
Midwest,NE,4,fish,participants,age,2011,35-44,33665,NONE,total,NA
Midwest,NE,4,fish,participants,age,2011,45-54,35178,NONE,total,NA
Midwest,NE,4,fish,participants,age,2011,55-64,27575,NONE,total,NA
Midwest,NE,4,fish,participants,age,2012,18-24,26728,NONE,total,NA
Midwest,NE,4,fish,participants,age,2012,25-34,42983,NONE,total,NA
Midwest,NE,4,fish,participants,age,2012,35-44,37800,NONE,total,NA
Midwest,NE,4,fish,participants,age,2012,45-54,37652,NONE,total,NA
Midwest,NE,4,fish,participants,age,2012,55-64,30422,NONE,total,NA
Midwest,NE,4,fish,participants,age,2013,18-24,26594,NONE,total,NA
Midwest,NE,4,fish,participants,age,2013,25-34,41219,NONE,total,NA
