region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Northwest,Northwest,4,all_sports,churn,age,2010,18-24,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2011,18-24,-0.05264417517058934,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2012,18-24,-0.05181774756780879,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2013,18-24,-0.06475959567134829,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2014,18-24,-0.061621373630957446,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2015,18-24,-0.0392899066958113,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2016,18-24,-0.05426876687008915,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2017,18-24,-0.0116639011452198,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2018,18-24,-0.028449201731726784,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2010,25-34,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2011,25-34,-0.054161811918270894,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2012,25-34,-0.052321877244190414,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2013,25-34,-0.044850839792185,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2014,25-34,-0.0510286754839638,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2015,25-34,-0.020367657376392102,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2016,25-34,-0.0247158574719955,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2017,25-34,0.020084466028187163,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2018,25-34,0.006222137673361114,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2010,35-44,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2011,35-44,-0.052212588726717815,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2012,35-44,-0.050932430582444344,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2013,35-44,-0.04968498211647679,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2014,35-44,-0.03796232332310376,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2015,35-44,-0.013064346006498771,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2016,35-44,-0.03438107549569979,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2017,35-44,0.03742214059822364,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2018,35-44,0.00826092400806843,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2010,45-54,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2011,45-54,-0.03441367940301965,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2012,45-54,-0.047370141488626304,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2013,45-54,-0.04017510198279077,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2014,45-54,-0.03387274078696411,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2015,45-54,-0.007510233703763723,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2016,45-54,-0.007836450746097068,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2017,45-54,0.047827959400609465,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2018,45-54,0.01772857684489871,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2010,55-64,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2011,55-64,-0.06071882808054784,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2012,55-64,-0.07493194989738548,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2013,55-64,-0.04986012300467841,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2014,55-64,-0.04334473776155336,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2015,55-64,-0.014504633599782064,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2016,55-64,-0.020304818411453516,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2017,55-64,0.055916528388437636,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,age,2018,55-64,0.019106937052559735,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2010,all,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2011,all,-0.05270476911002595,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2012,all,-0.058329543860945944,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2013,all,-0.05182701806591287,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2014,all,-0.04641038356081596,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2015,all,-0.018512721462317697,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2016,all,-0.02759355959705495,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2017,all,0.030929914084913676,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,all,2018,all,0.005109075277514269,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2010,female,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2011,female,-0.05829373592079876,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2012,female,-0.06630874469954044,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2013,female,-0.06862619986271223,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2014,female,-0.06953919810624155,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2015,female,-0.04516781419633705,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2016,female,-0.06668085789381463,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2017,female,-0.010257030691584384,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2018,female,-0.048643630202276744,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2010,male,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2011,male,-0.04665730085372999,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2012,male,-0.053101865679822176,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2013,male,-0.04507458561337281,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2014,male,-0.039957808699330404,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2015,male,-0.012908478604756551,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2016,male,-0.01681549462657414,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2017,male,0.0403658295915244,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,gender,2018,male,0.021834289030223636,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2010,nonresident,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2011,nonresident,-0.016120616141525965,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2012,nonresident,-0.024894643616846332,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2013,nonresident,-0.015930693227929324,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2014,nonresident,-0.008140739072286579,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2015,nonresident,-0.006047812787555263,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2016,nonresident,-0.008299114073339572,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2017,nonresident,0.026966330177830407,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2018,nonresident,0.022036135853729946,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2010,resident,0,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2011,resident,-0.05267567424206581,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2012,resident,-0.05531422441011527,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2013,resident,-0.05643315860992462,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2014,resident,-0.05284275557957196,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2015,resident,-0.017662803674284792,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2016,resident,-0.044815069653391965,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2017,resident,0.019553320048087183,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,churn,residency,2018,resident,-0.01660926720782239,AVG,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2009,18-24,0,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2010,18-24,-0.12279326843755156,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2011,18-24,-0.1471189059667439,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2012,18-24,-0.15352864748869605,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2013,18-24,-0.1210953411022773,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2014,18-24,-0.10081533609100193,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2015,18-24,-0.12630995628102204,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2016,18-24,-0.13210614465714426,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2017,18-24,-0.19005741362834289,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2018,18-24,-0.22655008146098113,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2009,25-34,0,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2010,25-34,-0.08616292597985961,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2011,25-34,-0.09039542686514367,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2012,25-34,-0.09114899998713784,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2013,25-34,-0.07961656766921214,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2014,25-34,-0.057543454145555804,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2015,25-34,-0.05792866531504052,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2016,25-34,-0.04553156453120267,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2017,25-34,-0.08733725956505539,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2018,25-34,-0.11555031972699735,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2009,35-44,0,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2010,35-44,-0.09174047829937998,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2011,35-44,-0.10882282626892106,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2012,35-44,-0.10986458767248786,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2013,35-44,-0.10145559269636575,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2014,35-44,-0.09736823150659894,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2015,35-44,-0.10555054756797039,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2016,35-44,-0.08328180622162636,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2017,35-44,-0.11522363050128259,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2018,35-44,-0.1094106453918519,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2009,45-54,0,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2010,45-54,-0.08635510325066693,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2011,45-54,-0.12120604589873298,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2012,45-54,-0.14113567965062845,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2013,45-54,-0.15983189848708798,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2014,45-54,-0.168010539263787,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2015,45-54,-0.18392320753320604,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2016,45-54,-0.18988349878375313,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2017,45-54,-0.24469633300835206,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2018,45-54,-0.2712062551725103,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2009,55-64,0,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2010,55-64,-0.041852553446476204,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2011,55-64,-0.02401068517449867,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2012,55-64,-0.017232126034543226,SUM,pct_change_all,NA
Northwest,Northwest,4,all_sports,participants,age,2013,55-64,-0.01428696586192849,SUM,pct_change_all,NA
