region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Northwest,Northwest,4,all_sports,churn,age,2010,18-24,0,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2011,18-24,-0.05264417517058934,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2012,18-24,8.264276027805517e-4,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2013,18-24,-0.012941848103539488,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2014,18-24,0.003138222040390834,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2015,18-24,0.02233146693514615,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2016,18-24,-0.014978860174277854,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2017,18-24,0.04260486572486935,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2018,18-24,-0.016785300586506985,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2010,25-34,0,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2011,25-34,-0.054161811918270894,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2012,25-34,0.0018399346740804823,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2013,25-34,0.007471037452005409,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2014,25-34,-0.006177835691778799,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2015,25-34,0.0306610181075717,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2016,25-34,-0.0043482000956033984,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2017,25-34,0.04480032350018266,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2018,25-34,-0.013862328354826047,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2010,35-44,0,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2011,35-44,-0.052212588726717815,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2012,35-44,0.0012801581442734695,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2013,35-44,0.0012474484659675536,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2014,35-44,0.01172265879337303,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2015,35-44,0.02489797731660499,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2016,35-44,-0.021316729489201023,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2017,35-44,0.07180321609392343,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2018,35-44,-0.029161216590155203,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2010,45-54,0,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2011,45-54,-0.03441367940301965,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2012,45-54,-0.012956462085606654,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2013,45-54,0.007195039505835534,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2014,45-54,0.00630236119582666,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2015,45-54,0.026362507083200384,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2016,45-54,-3.2621704233334436e-4,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2017,45-54,0.05566441014670653,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2018,45-54,-0.030099382555710756,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2010,55-64,0,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2011,55-64,-0.06071882808054784,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2012,55-64,-0.014213121816837643,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2013,55-64,0.025071826892707073,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2014,55-64,0.006515385243125047,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2015,55-64,0.0288401041617713,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2016,55-64,-0.0058001848116714504,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2017,55-64,0.07622134679989115,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,age,2018,55-64,-0.0368095913358779,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2010,all,0,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2011,all,-0.05270476911002595,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2012,all,-0.00562477475091999,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2013,all,0.006502525795033072,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2014,all,0.005416634505096909,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2015,all,0.027897662098498265,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2016,all,-0.009080838134737255,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2017,all,0.05852347368196863,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,all,2018,all,-0.025820838807399406,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,gender,2010,female,0,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,gender,2011,female,-0.05829373592079876,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,gender,2012,female,-0.00801500877874168,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,gender,2013,female,-0.002317455163171792,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,gender,2014,female,-9.129982435293129e-4,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,gender,2015,female,0.0243713839099045,AVG,pct_change_yr
Northwest,Northwest,4,all_sports,churn,gender,2016,female,-0.021513043697477585,AVG,pct_change_yr
