region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Northwest,Northwest,4,all_sports,participants,age,2009,18-24,72732,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2009,25-34,129789,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2009,35-44,135480,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2009,45-54,151815,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2009,55-64,129335,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2010,18-24,63801,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2010,25-34,118606,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2010,35-44,123051,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2010,45-54,138705,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2010,55-64,123922,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2011,18-24,62249,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2011,25-34,118104,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2011,35-44,120949,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2011,45-54,133871,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2011,55-64,126133,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2012,18-24,61850,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2012,25-34,118015,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2012,35-44,120823,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2012,45-54,131203,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2012,55-64,126988,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2013,18-24,63856,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2013,25-34,119376,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2013,35-44,121839,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2013,45-54,128750,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2013,55-64,127362,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2014,18-24,65151,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2014,25-34,122011,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2014,35-44,122337,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2014,45-54,127697,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2014,55-64,128036,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2015,18-24,63490,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2015,25-34,121964,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2015,35-44,121336,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2015,45-54,125665,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2015,55-64,126871,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2016,18-24,63122,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2016,25-34,123476,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2016,35-44,124038,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2016,45-54,124916,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2016,55-64,128950,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2017,18-24,59464,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2017,25-34,118314,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2017,35-44,120076,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2017,45-54,118069,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2017,55-64,123424,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2018,18-24,57294,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2018,25-34,114976,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2018,35-44,120774,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2018,45-54,114939,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,age,2018,55-64,121860,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2009,all,619152,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2010,all,568086,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2011,all,561307,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2012,all,558879,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2013,all,561184,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2014,all,565232,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2015,all,559326,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2016,all,564502,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2017,all,539347,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,all,2018,all,529843,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2009,female,145622,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2009,male,473530,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2010,female,129311,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2010,male,438775,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2011,female,129956,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2011,male,431351,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2012,female,131834,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2012,male,427045,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2013,female,135907,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2013,male,425277,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2014,female,139674,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2014,male,425558,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2015,female,138708,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2015,male,420618,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2016,female,142696,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2016,male,421806,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2017,female,134230,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2017,male,405117,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2018,female,132784,SUM,total,NA
Northwest,Northwest,4,all_sports,participants,gender,2018,male,397059,SUM,total,NA
