region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Northwest,OR,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2011,18-24,-0.05264417517058934,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2012,18-24,-0.05181774756780879,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2013,18-24,-0.06475959567134829,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2014,18-24,-0.061621373630957446,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2015,18-24,-0.0392899066958113,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2016,18-24,-0.05426876687008915,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2017,18-24,-0.0116639011452198,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2018,18-24,-0.028449201731726784,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2011,25-34,-0.054161811918270894,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2012,25-34,-0.052321877244190414,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2013,25-34,-0.044850839792185,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2014,25-34,-0.0510286754839638,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2015,25-34,-0.020367657376392102,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2016,25-34,-0.0247158574719955,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2017,25-34,0.020084466028187163,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2018,25-34,0.006222137673361114,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2011,35-44,-0.052212588726717815,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2012,35-44,-0.050932430582444344,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2013,35-44,-0.04968498211647679,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2014,35-44,-0.03796232332310376,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2015,35-44,-0.013064346006498771,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2016,35-44,-0.03438107549569979,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2017,35-44,0.03742214059822364,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2018,35-44,0.00826092400806843,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2011,45-54,-0.03441367940301965,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2012,45-54,-0.047370141488626304,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2013,45-54,-0.04017510198279077,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2014,45-54,-0.03387274078696411,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2015,45-54,-0.007510233703763723,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2016,45-54,-0.007836450746097068,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2017,45-54,0.047827959400609465,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2018,45-54,0.01772857684489871,NONE,pct_change_all
Northwest,OR,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all
