region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Northwest,OR,4,hunt,participants,all,2009,all,233378,NONE,total
Northwest,OR,4,hunt,participants,all,2010,all,216348,NONE,total
Northwest,OR,4,hunt,participants,all,2011,all,212024,NONE,total
Northwest,OR,4,hunt,participants,all,2012,all,208213,NONE,total
Northwest,OR,4,hunt,participants,all,2013,all,210407,NONE,total
Northwest,OR,4,hunt,participants,all,2014,all,210041,NONE,total
Northwest,OR,4,hunt,participants,all,2015,all,210235,NONE,total
Northwest,OR,4,hunt,participants,all,2016,all,210216,NONE,total
Northwest,OR,4,hunt,participants,all,2017,all,204500,NONE,total
Northwest,OR,4,hunt,participants,all,2018,all,200378,NONE,total
Northwest,OR,4,hunt,participants,residency,2009,resident,214782,NONE,total
Northwest,OR,4,hunt,participants,residency,2010,resident,202957,NONE,total
Northwest,OR,4,hunt,participants,residency,2011,resident,198869,NONE,total
Northwest,OR,4,hunt,participants,residency,2012,resident,195409,NONE,total
Northwest,OR,4,hunt,participants,residency,2013,resident,197469,NONE,total
Northwest,OR,4,hunt,participants,residency,2014,resident,196739,NONE,total
Northwest,OR,4,hunt,participants,residency,2015,resident,196479,NONE,total
Northwest,OR,4,hunt,participants,residency,2016,resident,196276,NONE,total
Northwest,OR,4,hunt,participants,residency,2017,resident,190753,NONE,total
Northwest,OR,4,hunt,participants,residency,2018,resident,187051,NONE,total
Northwest,OR,4,hunt,participants,residency,2009,nonresident,18596,NONE,total
Northwest,OR,4,hunt,participants,residency,2010,nonresident,13391,NONE,total
Northwest,OR,4,hunt,participants,residency,2011,nonresident,13155,NONE,total
Northwest,OR,4,hunt,participants,residency,2012,nonresident,12804,NONE,total
Northwest,OR,4,hunt,participants,residency,2013,nonresident,12938,NONE,total
Northwest,OR,4,hunt,participants,residency,2014,nonresident,13302,NONE,total
Northwest,OR,4,hunt,participants,residency,2015,nonresident,13756,NONE,total
Northwest,OR,4,hunt,participants,residency,2016,nonresident,13940,NONE,total
Northwest,OR,4,hunt,participants,residency,2017,nonresident,13747,NONE,total
Northwest,OR,4,hunt,participants,residency,2018,nonresident,13327,NONE,total
Northwest,OR,4,hunt,participants,gender,2009,male,200541,NONE,total
Northwest,OR,4,hunt,participants,gender,2010,male,186312,NONE,total
Northwest,OR,4,hunt,participants,gender,2011,male,182015,NONE,total
Northwest,OR,4,hunt,participants,gender,2012,male,177809,NONE,total
Northwest,OR,4,hunt,participants,gender,2013,male,177974,NONE,total
Northwest,OR,4,hunt,participants,gender,2014,male,176070,NONE,total
Northwest,OR,4,hunt,participants,gender,2015,male,174827,NONE,total
Northwest,OR,4,hunt,participants,gender,2016,male,173539,NONE,total
Northwest,OR,4,hunt,participants,gender,2017,male,168351,NONE,total
Northwest,OR,4,hunt,participants,gender,2018,male,164862,NONE,total
Northwest,OR,4,hunt,participants,gender,2009,female,32837,NONE,total
Northwest,OR,4,hunt,participants,gender,2010,female,30036,NONE,total
Northwest,OR,4,hunt,participants,gender,2011,female,30009,NONE,total
Northwest,OR,4,hunt,participants,gender,2012,female,30404,NONE,total
Northwest,OR,4,hunt,participants,gender,2013,female,32433,NONE,total
Northwest,OR,4,hunt,participants,gender,2014,female,33971,NONE,total
Northwest,OR,4,hunt,participants,gender,2015,female,35408,NONE,total
Northwest,OR,4,hunt,participants,gender,2016,female,36677,NONE,total
Northwest,OR,4,hunt,participants,gender,2017,female,36149,NONE,total
Northwest,OR,4,hunt,participants,gender,2018,female,35516,NONE,total
Northwest,OR,4,hunt,participants,age,2009,18-24,25571,NONE,total
Northwest,OR,4,hunt,participants,age,2010,18-24,23317,NONE,total
Northwest,OR,4,hunt,participants,age,2011,18-24,22370,NONE,total
Northwest,OR,4,hunt,participants,age,2012,18-24,22352,NONE,total
Northwest,OR,4,hunt,participants,age,2013,18-24,23278,NONE,total
Northwest,OR,4,hunt,participants,age,2014,18-24,23370,NONE,total
Northwest,OR,4,hunt,participants,age,2015,18-24,23248,NONE,total
Northwest,OR,4,hunt,participants,age,2016,18-24,23793,NONE,total
Northwest,OR,4,hunt,participants,age,2017,18-24,22774,NONE,total
Northwest,OR,4,hunt,participants,age,2018,18-24,21828,NONE,total
Northwest,OR,4,hunt,participants,age,2009,25-34,46792,NONE,total
Northwest,OR,4,hunt,participants,age,2010,25-34,43520,NONE,total
Northwest,OR,4,hunt,participants,age,2011,25-34,43028,NONE,total
Northwest,OR,4,hunt,participants,age,2012,25-34,42657,NONE,total
Northwest,OR,4,hunt,participants,age,2013,25-34,43807,NONE,total
Northwest,OR,4,hunt,participants,age,2014,25-34,44473,NONE,total
Northwest,OR,4,hunt,participants,age,2015,25-34,45121,NONE,total
Northwest,OR,4,hunt,participants,age,2016,25-34,45027,NONE,total
Northwest,OR,4,hunt,participants,age,2017,25-34,44165,NONE,total
Northwest,OR,4,hunt,participants,age,2018,25-34,42954,NONE,total
Northwest,OR,4,hunt,participants,age,2009,35-44,51400,NONE,total
Northwest,OR,4,hunt,participants,age,2010,35-44,46815,NONE,total
Northwest,OR,4,hunt,participants,age,2011,35-44,45499,NONE,total
Northwest,OR,4,hunt,participants,age,2012,35-44,44835,NONE,total
Northwest,OR,4,hunt,participants,age,2013,35-44,45671,NONE,total
Northwest,OR,4,hunt,participants,age,2014,35-44,45734,NONE,total
Northwest,OR,4,hunt,participants,age,2015,35-44,46143,NONE,total
Northwest,OR,4,hunt,participants,age,2016,35-44,46482,NONE,total
Northwest,OR,4,hunt,participants,age,2017,35-44,45752,NONE,total
Northwest,OR,4,hunt,participants,age,2018,35-44,46059,NONE,total
Northwest,OR,4,hunt,participants,age,2009,45-54,58313,NONE,total
Northwest,OR,4,hunt,participants,age,2010,45-54,53168,NONE,total
Northwest,OR,4,hunt,participants,age,2011,45-54,51242,NONE,total
Northwest,OR,4,hunt,participants,age,2012,45-54,49395,NONE,total
Northwest,OR,4,hunt,participants,age,2013,45-54,48610,NONE,total
Northwest,OR,4,hunt,participants,age,2014,45-54,47917,NONE,total
Northwest,OR,4,hunt,participants,age,2015,45-54,47442,NONE,total
Northwest,OR,4,hunt,participants,age,2016,45-54,46956,NONE,total
Northwest,OR,4,hunt,participants,age,2017,45-54,45129,NONE,total
Northwest,OR,4,hunt,participants,age,2018,45-54,44036,NONE,total
Northwest,OR,4,hunt,participants,age,2009,55-64,51301,NONE,total
Northwest,OR,4,hunt,participants,age,2010,55-64,49528,NONE,total
Northwest,OR,4,hunt,participants,age,2011,55-64,49885,NONE,total
Northwest,OR,4,hunt,participants,age,2012,55-64,48974,NONE,total
Northwest,OR,4,hunt,participants,age,2013,55-64,49041,NONE,total
Northwest,OR,4,hunt,participants,age,2014,55-64,48547,NONE,total
Northwest,OR,4,hunt,participants,age,2015,55-64,48281,NONE,total
Northwest,OR,4,hunt,participants,age,2016,55-64,47959,NONE,total
Northwest,OR,4,hunt,participants,age,2017,55-64,46680,NONE,total
Northwest,OR,4,hunt,participants,age,2018,55-64,45501,NONE,total
Northwest,OR,4,hunt,participants - recruited,all,2014,all,23988,NONE,total
Northwest,OR,4,hunt,participants - recruited,all,2015,all,24539,NONE,total
Northwest,OR,4,hunt,participants - recruited,all,2016,all,24777,NONE,total
Northwest,OR,4,hunt,participants - recruited,all,2017,all,22426,NONE,total
Northwest,OR,4,hunt,participants - recruited,all,2018,all,21307,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2014,resident,20300,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2015,resident,20574,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2016,resident,20812,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2017,resident,18581,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2018,resident,17559,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2014,nonresident,3688,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2015,nonresident,3965,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2016,nonresident,3965,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2017,nonresident,3845,NONE,total
Northwest,OR,4,hunt,participants - recruited,residency,2018,nonresident,3748,NONE,total
Northwest,OR,4,hunt,participants - recruited,gender,2014,male,17678,NONE,total
Northwest,OR,4,hunt,participants - recruited,gender,2015,male,18047,NONE,total
Northwest,OR,4,hunt,participants - recruited,gender,2016,male,18238,NONE,total
Northwest,OR,4,hunt,participants - recruited,gender,2017,male,16809,NONE,total
Northwest,OR,4,hunt,participants - recruited,gender,2018,male,16221,NONE,total
Northwest,OR,4,hunt,participants - recruited,gender,2014,female,6310,NONE,total
Northwest,OR,4,hunt,participants - recruited,gender,2015,female,6492,NONE,total
Northwest,OR,4,hunt,participants - recruited,gender,2016,female,6539,NONE,total
