region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Southeast,SC,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2011,18-24,0.018195083771359515,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2012,18-24,-0.005369741284644753,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2013,18-24,0.0041866660229571626,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2014,18-24,-0.009728946475226964,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2015,18-24,0.04720157467155341,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2016,18-24,0.09494609325726994,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2017,18-24,0.1002279502246813,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2018,18-24,0.10572894469474586,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2011,25-34,0.009127526343324682,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2012,25-34,-1.9052663725978997e-5,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2013,25-34,0.006374153589038787,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2014,25-34,-0.011691902391949109,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2015,25-34,0.05264096632040716,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2016,25-34,0.1015419848390731,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2017,25-34,0.11362380724556458,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2018,25-34,0.11060555132491795,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2011,35-44,0.02560099447900046,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2012,35-44,-0.0026455323449405613,NONE,pct_change_all,NA
Southeast,SC,4,all_sports,churn,age,2013,35-44,0.013836776696464399,NONE,pct_change_all,NA
