region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Southeast,SC,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2011,18-24,0.018195083771359515,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2012,18-24,-0.023564825056004268,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2013,18-24,0.009556407307601916,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2014,18-24,-0.013915612498184127,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2015,18-24,0.05693052114678038,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2016,18-24,0.04774451858571652,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2017,18-24,0.005281856967411367,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2018,18-24,0.0055009944700645675,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2011,25-34,0.009127526343324682,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2012,25-34,-0.00914657900705066,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2013,25-34,0.006393206252764766,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2014,25-34,-0.018066055980987896,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2015,25-34,0.06433286871235627,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2016,25-34,0.04890101851866594,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2017,25-34,0.01208182240649147,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2018,25-34,-0.0030182559206466215,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2011,35-44,0.02560099447900046,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2012,35-44,-0.02824652682394102,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2013,35-44,0.01648230904140496,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2014,35-44,-0.02842012455202737,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2015,35-44,0.08226297082263008,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2016,35-44,0.05802467392263895,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2017,35-44,0.015382706663590453,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2018,35-44,0.018294891426149592,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2011,45-54,0.03218227353689048,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2012,45-54,-0.03191316688903592,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2013,45-54,0.005697021521496533,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2014,45-54,-0.028065935969222976,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2015,45-54,0.09050691331018,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2016,45-54,0.05803492712900621,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2017,45-54,0.005367781899868663,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2018,45-54,0.016020468131293566,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2011,55-64,0.04812227288323521,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2012,55-64,-0.048333878726931345,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2013,55-64,0.01047165219999036,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2014,55-64,-0.024313043749534493,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2015,55-64,0.13438096535994318,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2016,55-64,0.031855357143170636,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2017,55-64,0.019539733198938168,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,age,2018,55-64,0.018134697640129347,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2010,all,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2011,all,0.0246675285271512,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2012,all,-0.027053620899454327,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2013,all,0.010920845668560752,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2014,all,-0.022197230321482603,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2015,all,0.08554927575336416,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2016,all,0.05019614181422465,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2017,all,0.01062892545976958,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,all,2018,all,0.009328783674250121,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2010,female,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2011,female,0.01980513689953697,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2012,female,-0.02593196444952703,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2013,female,-0.0010937214069103886,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2014,female,0.001976519856298469,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2015,female,0.06432138687773799,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2016,female,0.04047105597876755,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2017,female,0.005644338362754581,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2018,female,3.304447251961274e-4,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2010,male,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2011,male,0.0249091784968263,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2012,male,-0.02771378097215388,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2013,male,0.013575325622072122,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2014,male,-0.03211572110768995,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2015,male,0.09152296254689986,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2016,male,0.0531173283092679,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2017,male,0.012210265996142309,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,gender,2018,male,0.01218457386897124,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2011,nonresident,0.03793895451084326,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2012,nonresident,-0.01565414295185812,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2013,nonresident,0.036999658372224575,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2014,nonresident,-0.05447311795487549,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2015,nonresident,0.06563382483903364,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2016,nonresident,0.020448195639688402,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2017,nonresident,8.837947100531683e-4,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2018,nonresident,0.009370208191105091,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2010,resident,0,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2011,resident,0.004328363848260561,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2012,resident,-0.02954143160167776,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2013,resident,-0.004245646361883027,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2014,resident,0.012476420099270996,NONE,pct_change_yr,NA
Southeast,SC,4,all_sports,churn,residency,2015,resident,0.06902909085261252,NONE,pct_change_yr,NA
