region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Southeast,Southeast,4,all_sports,churn,age,2010,18-24,0,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2011,18-24,3.4179559534421386e-4,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2012,18-24,-0.0233304236023944,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2013,18-24,-0.016237087116362528,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2014,18-24,-0.03000771246152708,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2015,18-24,-0.007590131628079936,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2016,18-24,8.253770291390362e-4,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2017,18-24,0.004939180158769645,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2018,18-24,-0.0017275526968181893,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2010,25-34,0,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2011,25-34,5.60761342517612e-5,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2012,25-34,-0.011808798299359087,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2013,25-34,-0.007405884992681031,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2014,25-34,-0.018376314470651543,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2015,25-34,0.006865463165271769,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2016,25-34,0.014614289755261939,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2017,25-34,0.02102376320433075,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2018,25-34,0.014865532108308295,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2010,35-44,0,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2011,35-44,0.006156333220117186,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2012,35-44,-0.01046794908931066,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2013,35-44,-0.0019512025275327189,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2014,35-44,-0.019382204468882648,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2015,35-44,0.011482401399386766,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2016,35-44,0.023494241104904477,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2017,35-44,0.030557803569585228,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2018,35-44,0.03202138398582265,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2010,45-54,0,AVG,pct_change_all,NA
Southeast,Southeast,4,all_sports,churn,age,2011,45-54,0.00431358460591193,AVG,pct_change_all,NA
