region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Southeast,Southeast,4,all_sports,churn,age,2010,18-24,0,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2011,18-24,3.4179559534421386e-4,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2012,18-24,-0.023672219197738615,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2013,18-24,0.007093336486031872,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2014,18-24,-0.013770625345164551,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2015,18-24,0.022417580833447144,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2016,18-24,0.008415508657218972,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2017,18-24,0.004113803129630608,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2018,18-24,-0.006666732855587834,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2010,25-34,0,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2011,25-34,5.60761342517612e-5,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2012,25-34,-0.011864874433610848,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2013,25-34,0.004402913306678056,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2014,25-34,-0.010970429477970514,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2015,25-34,0.025241777635923314,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2016,25-34,0.00774882658999017,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2017,25-34,0.006409473449068812,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2018,25-34,-0.006158231096022456,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2010,35-44,0,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2011,35-44,0.006156333220117186,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2012,35-44,-0.016624282309427845,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2013,35-44,0.00851674656177794,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2014,35-44,-0.01743100194134993,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2015,35-44,0.030864605868269415,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2016,35-44,0.01201183970551771,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2017,35-44,0.007063562464680751,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2018,35-44,0.0014635804162374242,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2010,45-54,0,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2011,45-54,0.00431358460591193,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2012,45-54,-0.024494142079178164,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2013,45-54,0.006605027662885311,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2014,45-54,-0.02071708219635083,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2015,45-54,0.026385468112990515,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2016,45-54,0.010887398813580067,AVG,pct_change_yr
Southeast,Southeast,4,all_sports,churn,age,2017,45-54,-0.00111629011492046,AVG,pct_change_yr
