region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Southeast,TN,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2011,18-24,-8.543279759231565e-4,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2012,18-24,-0.045590516533284955,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2013,18-24,-0.009619188955893504,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2014,18-24,-0.03364375339818856,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2015,18-24,-0.006919004138820697,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2016,18-24,0.020811580256079945,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2017,18-24,0.04919609149471871,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2018,18-24,0.023880032700394203,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2011,25-34,-0.004400132208051306,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2012,25-34,-0.029322732718889702,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2013,25-34,0.007592325959872817,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2014,25-34,-0.009750323084981683,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2015,25-34,0.028727250550296606,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2016,25-34,0.044856093497717575,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2017,25-34,0.07968111392082036,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2018,25-34,0.06952203291406868,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2011,35-44,0.013105293248760008,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2012,35-44,-0.028185167398261088,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2013,35-44,0.018085862480578085,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2014,35-44,-0.006165425087708719,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2015,35-44,0.04352508404668529,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2016,35-44,0.060575925554331195,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2017,35-44,0.104875054764236,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2018,35-44,0.09544005854515564,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2011,45-54,0.007358423501373524,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2012,45-54,-0.04744425393125457,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2013,45-54,-0.003945724624834902,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2014,45-54,-0.03423952283380886,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2015,45-54,0.0066112092002174,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2016,45-54,0.029349695906141608,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2017,45-54,0.05939940517334344,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2018,45-54,0.0384904856378221,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2011,55-64,0.014987161472798214,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2012,55-64,-0.04374802070924659,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2013,55-64,0.014163489304605313,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2014,55-64,-0.021019163497699334,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2015,55-64,9.446120822904722e-4,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2016,55-64,0.035066122480172185,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2017,55-64,0.05343781374773617,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,age,2018,55-64,0.023033147796340532,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2010,all,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2011,all,0.005485032272324837,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2012,all,-0.03775056995853617,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2013,all,0.008408699960356605,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2014,all,-0.01618724139065787,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2015,all,0.02100860330512144,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2016,all,0.04252151403220086,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2017,all,0.07327919889182166,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,all,2018,all,0.05282153698877658,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2010,female,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2011,female,0.005122422307199875,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2012,female,-0.043545413513163,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2013,female,-0.003092502278785745,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2014,female,-0.03412022271650535,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2015,female,-0.006228689021586135,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2016,female,0.0014049022549854837,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2017,female,0.026135353450908352,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2018,female,0.030605340379750955,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2010,male,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2011,male,0.0037540442190492408,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2012,male,-0.040555221157128556,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2013,male,-8.834787813206831e-4,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2014,male,-0.029668898007132852,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2015,male,0.002343448480201358,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2016,male,0.02510896817512942,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2017,male,0.053015593273239105,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,gender,2018,male,0.060285140503793834,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2011,nonresident,0.008107738203879295,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2012,nonresident,-0.007421496612778905,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2013,nonresident,0.015426396493101376,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2014,nonresident,0.0034177947095749284,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2015,nonresident,0.02470542418948567,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2016,nonresident,0.03070523359104803,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2017,nonresident,0.037010013588231576,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2018,nonresident,0.03269964009024703,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2010,resident,0,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2011,resident,0.002036540628690749,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2012,resident,-0.05641237415891345,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2013,resident,0.002901249317192677,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2014,resident,-0.029167358369307936,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2015,resident,0.011604384806513907,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2016,resident,0.03903440306660518,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2017,resident,0.07712062584553953,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,churn,residency,2018,resident,0.04308513859096452,NONE,pct_change_all,NA
Southeast,TN,4,all_sports,participants,age,2009,18-24,0,NONE,pct_change_all,NA
