region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Southeast,TN,4,all_sports,participants,all,2009,all,655576,NONE,total
Southeast,TN,4,all_sports,participants,all,2010,all,631374,NONE,total
Southeast,TN,4,all_sports,participants,all,2011,all,614739,NONE,total
Southeast,TN,4,all_sports,participants,all,2012,all,642900,NONE,total
Southeast,TN,4,all_sports,participants,all,2013,all,638473,NONE,total
Southeast,TN,4,all_sports,participants,all,2014,all,656177,NONE,total
Southeast,TN,4,all_sports,participants,all,2015,all,641062,NONE,total
Southeast,TN,4,all_sports,participants,all,2016,all,620001,NONE,total
Southeast,TN,4,all_sports,participants,all,2017,all,588229,NONE,total
Southeast,TN,4,all_sports,participants,all,2018,all,565715,NONE,total
Southeast,TN,4,all_sports,participants,residency,2009,resident,514279,NONE,total
Southeast,TN,4,all_sports,participants,residency,2010,resident,493742,NONE,total
Southeast,TN,4,all_sports,participants,residency,2011,resident,479431,NONE,total
Southeast,TN,4,all_sports,participants,residency,2012,resident,502286,NONE,total
Southeast,TN,4,all_sports,participants,residency,2013,resident,497902,NONE,total
Southeast,TN,4,all_sports,participants,residency,2014,resident,508773,NONE,total
Southeast,TN,4,all_sports,participants,residency,2015,resident,495747,NONE,total
Southeast,TN,4,all_sports,participants,residency,2016,resident,476e3,NONE,total
Southeast,TN,4,all_sports,participants,residency,2017,resident,447830,NONE,total
Southeast,TN,4,all_sports,participants,residency,2018,resident,424773,NONE,total
Southeast,TN,4,all_sports,participants,residency,2009,nonresident,141297,NONE,total
Southeast,TN,4,all_sports,participants,residency,2010,nonresident,137632,NONE,total
Southeast,TN,4,all_sports,participants,residency,2011,nonresident,135308,NONE,total
Southeast,TN,4,all_sports,participants,residency,2012,nonresident,140614,NONE,total
Southeast,TN,4,all_sports,participants,residency,2013,nonresident,140571,NONE,total
Southeast,TN,4,all_sports,participants,residency,2014,nonresident,147404,NONE,total
Southeast,TN,4,all_sports,participants,residency,2015,nonresident,145315,NONE,total
Southeast,TN,4,all_sports,participants,residency,2016,nonresident,144001,NONE,total
