region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
US,US,4,all_sports,churn,age,2010,18-24,0,AVG,pct_change_all
US,US,4,all_sports,churn,age,2011,18-24,-0.009493262170949961,AVG,pct_change_all
US,US,4,all_sports,churn,age,2012,18-24,-0.04082305842807128,AVG,pct_change_all
US,US,4,all_sports,churn,age,2013,18-24,-0.015922131403513468,AVG,pct_change_all
US,US,4,all_sports,churn,age,2014,18-24,-0.030269645212080233,AVG,pct_change_all
US,US,4,all_sports,churn,age,2015,18-24,-0.012162243218906977,AVG,pct_change_all
US,US,4,all_sports,churn,age,2016,18-24,-0.008155272261845972,AVG,pct_change_all
US,US,4,all_sports,churn,age,2017,18-24,0.009153390414255754,AVG,pct_change_all
US,US,4,all_sports,churn,age,2018,18-24,0.008527271448607099,AVG,pct_change_all
US,US,4,all_sports,churn,age,2010,25-34,0,AVG,pct_change_all
US,US,4,all_sports,churn,age,2011,25-34,-0.008416110316030118,AVG,pct_change_all
US,US,4,all_sports,churn,age,2012,25-34,-0.032695909573309416,AVG,pct_change_all
US,US,4,all_sports,churn,age,2013,25-34,-0.0037228948948141733,AVG,pct_change_all
US,US,4,all_sports,churn,age,2014,25-34,-0.02187672854839027,AVG,pct_change_all
US,US,4,all_sports,churn,age,2015,25-34,-0.0029413534602282885,AVG,pct_change_all
US,US,4,all_sports,churn,age,2016,25-34,0.002988933674784532,AVG,pct_change_all
US,US,4,all_sports,churn,age,2017,25-34,0.022256310959105404,AVG,pct_change_all
US,US,4,all_sports,churn,age,2018,25-34,0.022078610561341767,AVG,pct_change_all
US,US,4,all_sports,churn,age,2010,35-44,0,AVG,pct_change_all
US,US,4,all_sports,churn,age,2011,35-44,-0.00550339339204905,AVG,pct_change_all
US,US,4,all_sports,churn,age,2012,35-44,-0.03136313782203495,AVG,pct_change_all
US,US,4,all_sports,churn,age,2013,35-44,-0.0014092390028623194,AVG,pct_change_all
US,US,4,all_sports,churn,age,2014,35-44,-0.02034879106835645,AVG,pct_change_all
US,US,4,all_sports,churn,age,2015,35-44,-0.0015022319987292952,AVG,pct_change_all
US,US,4,all_sports,churn,age,2016,35-44,0.0034046988194142416,AVG,pct_change_all
US,US,4,all_sports,churn,age,2017,35-44,0.02325749251577026,AVG,pct_change_all
US,US,4,all_sports,churn,age,2018,35-44,0.030328902104902924,AVG,pct_change_all
US,US,4,all_sports,churn,age,2010,45-54,0,AVG,pct_change_all
US,US,4,all_sports,churn,age,2011,45-54,-0.003643838477360717,AVG,pct_change_all
US,US,4,all_sports,churn,age,2012,45-54,-0.03852882212819732,AVG,pct_change_all
US,US,4,all_sports,churn,age,2013,45-54,-0.004165070880293421,AVG,pct_change_all
US,US,4,all_sports,churn,age,2014,45-54,-0.026672874255531952,AVG,pct_change_all
US,US,4,all_sports,churn,age,2015,45-54,-0.011207764996369446,AVG,pct_change_all
US,US,4,all_sports,churn,age,2016,45-54,-0.001674205821277178,AVG,pct_change_all
US,US,4,all_sports,churn,age,2017,45-54,0.01376854310547161,AVG,pct_change_all
US,US,4,all_sports,churn,age,2018,45-54,0.01912602196307659,AVG,pct_change_all
US,US,4,all_sports,churn,age,2010,55-64,0,AVG,pct_change_all
US,US,4,all_sports,churn,age,2011,55-64,-0.004157500776356105,AVG,pct_change_all
US,US,4,all_sports,churn,age,2012,55-64,-0.041226828375209176,AVG,pct_change_all
US,US,4,all_sports,churn,age,2013,55-64,-0.009561280941440584,AVG,pct_change_all
US,US,4,all_sports,churn,age,2014,55-64,-0.03616263957365548,AVG,pct_change_all
US,US,4,all_sports,churn,age,2015,55-64,-0.02743139376694168,AVG,pct_change_all
US,US,4,all_sports,churn,age,2016,55-64,-0.02181026682192183,AVG,pct_change_all
US,US,4,all_sports,churn,age,2017,55-64,-0.003991125705106661,AVG,pct_change_all
US,US,4,all_sports,churn,age,2018,55-64,-0.0031473211151052966,AVG,pct_change_all
US,US,4,all_sports,churn,all,2010,all,0,AVG,pct_change_all
US,US,4,all_sports,churn,all,2011,all,-0.0066652369521623235,AVG,pct_change_all
US,US,4,all_sports,churn,all,2012,all,-0.037798319837296986,AVG,pct_change_all
US,US,4,all_sports,churn,all,2013,all,-0.005476026114783741,AVG,pct_change_all
US,US,4,all_sports,churn,all,2014,all,-0.024650130168931892,AVG,pct_change_all
US,US,4,all_sports,churn,all,2015,all,-0.008403658238250383,AVG,pct_change_all
US,US,4,all_sports,churn,all,2016,all,-0.00278983415170566,AVG,pct_change_all
US,US,4,all_sports,churn,all,2017,all,0.014800345270822298,AVG,pct_change_all
US,US,4,all_sports,churn,all,2018,all,0.016382145657531443,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2010,female,0,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2011,female,-0.004733960128969182,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2012,female,-0.04169217549028757,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2013,female,-0.012370361669946074,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2014,female,-0.03633725344171433,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2015,female,-0.022252099968070864,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2016,female,-0.02690564247757215,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2017,female,-0.00876249286487302,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2018,female,-0.0048660709160933645,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2010,male,0,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2011,male,-0.006873456206851748,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2012,male,-0.0356438769077107,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2013,male,-0.006320548395418194,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2014,male,-0.0255539692350786,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2015,male,-0.012047022543350754,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2016,male,-0.004048956279402966,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2017,male,0.022455610396435205,AVG,pct_change_all
US,US,4,all_sports,churn,gender,2018,male,0.02887594118355844,AVG,pct_change_all
US,US,4,all_sports,churn,residency,2010,nonresident,0,AVG,pct_change_all
US,US,4,all_sports,churn,residency,2011,nonresident,-0.002512417230872982,AVG,pct_change_all
US,US,4,all_sports,churn,residency,2012,nonresident,-0.017743664215489702,AVG,pct_change_all
