region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
US,US,4,all_sports,participants,age,2009,18-24,856789.0584916497,SUM,total
US,US,4,all_sports,participants,age,2009,25-34,1371041.6039244821,SUM,total
US,US,4,all_sports,participants,age,2009,35-44,1568798.9194947856,SUM,total
US,US,4,all_sports,participants,age,2009,45-54,1756112.2166979653,SUM,total
US,US,4,all_sports,participants,age,2009,55-64,1305137.2013911172,SUM,total
US,US,4,all_sports,participants,age,2010,18-24,891674.3505676588,SUM,total
US,US,4,all_sports,participants,age,2010,25-34,1436057.542072746,SUM,total
US,US,4,all_sports,participants,age,2010,35-44,1595487.5942201572,SUM,total
US,US,4,all_sports,participants,age,2010,45-54,1818564.0093477403,SUM,total
US,US,4,all_sports,participants,age,2010,55-64,1397037.7537916978,SUM,total
US,US,4,all_sports,participants,age,2011,18-24,902711.9670259056,SUM,total
US,US,4,all_sports,participants,age,2011,25-34,1450204.452714343,SUM,total
US,US,4,all_sports,participants,age,2011,35-44,1564054.8408787963,SUM,total
US,US,4,all_sports,participants,age,2011,45-54,1798455.5854506332,SUM,total
US,US,4,all_sports,participants,age,2011,55-64,1425297.9039303218,SUM,total
US,US,4,all_sports,participants,age,2012,18-24,946283.6069946504,SUM,total
US,US,4,all_sports,participants,age,2012,25-34,1493696.3973834084,SUM,total
US,US,4,all_sports,participants,age,2012,35-44,1577947.8741446729,SUM,total
US,US,4,all_sports,participants,age,2012,45-54,1803849.3342130105,SUM,total
US,US,4,all_sports,participants,age,2012,55-64,1470280.0372642577,SUM,total
US,US,4,all_sports,participants,age,2013,18-24,976660.0158482234,SUM,total
US,US,4,all_sports,participants,age,2013,25-34,1523415.125413992,SUM,total
US,US,4,all_sports,participants,age,2013,35-44,1572910.6244245002,SUM,total
US,US,4,all_sports,participants,age,2013,45-54,1791317.6199533876,SUM,total
US,US,4,all_sports,participants,age,2013,55-64,1506118.614359897,SUM,total
US,US,4,all_sports,participants,age,2014,18-24,998598.9471671348,SUM,total
US,US,4,all_sports,participants,age,2014,25-34,1565166.0761202124,SUM,total
US,US,4,all_sports,participants,age,2014,35-44,1583891.0172702326,SUM,total
US,US,4,all_sports,participants,age,2014,45-54,1788993.4207159346,SUM,total
US,US,4,all_sports,participants,age,2014,55-64,1552319.2887264856,SUM,total
US,US,4,all_sports,participants,age,2015,18-24,983021.1971671348,SUM,total
US,US,4,all_sports,participants,age,2015,25-34,1564663.5761202124,SUM,total
US,US,4,all_sports,participants,age,2015,35-44,1565123.7672702326,SUM,total
US,US,4,all_sports,participants,age,2015,45-54,1766209.4207159346,SUM,total
US,US,4,all_sports,participants,age,2015,55-64,1579380.0387264856,SUM,total
US,US,4,all_sports,participants,age,2016,18-24,973976.9471671348,SUM,total
US,US,4,all_sports,participants,age,2016,25-34,1563901.3261202124,SUM,total
US,US,4,all_sports,participants,age,2016,35-44,1559368.2672702326,SUM,total
US,US,4,all_sports,participants,age,2016,45-54,1751592.1707159346,SUM,total
US,US,4,all_sports,participants,age,2016,55-64,1594724.7887264856,SUM,total
US,US,4,all_sports,participants,age,2017,18-24,946275.9471671348,SUM,total
US,US,4,all_sports,participants,age,2017,25-34,1528704.5761202124,SUM,total
US,US,4,all_sports,participants,age,2017,35-44,1542596.7672702326,SUM,total
US,US,4,all_sports,participants,age,2017,45-54,1719272.9207159346,SUM,total
US,US,4,all_sports,participants,age,2017,55-64,1590463.2887264856,SUM,total
US,US,4,all_sports,participants,age,2018,18-24,914035.1971671348,SUM,total
US,US,4,all_sports,participants,age,2018,25-34,1487171.8261202124,SUM,total
US,US,4,all_sports,participants,age,2018,35-44,1515777.7672702326,SUM,total
US,US,4,all_sports,participants,age,2018,45-54,1672508.1707159346,SUM,total
US,US,4,all_sports,participants,age,2018,55-64,1578269.5387264856,SUM,total
US,US,4,all_sports,participants,all,2009,all,6857880,SUM,total
US,US,4,all_sports,participants,all,2010,all,7135080.75,SUM,total
US,US,4,all_sports,participants,all,2011,all,7137289.5,SUM,total
US,US,4,all_sports,participants,all,2012,all,7288729.75,SUM,total
US,US,4,all_sports,participants,all,2013,all,7367332.5,SUM,total
US,US,4,all_sports,participants,all,2014,all,7485762.25,SUM,total
US,US,4,all_sports,participants,all,2015,all,7454917.75,SUM,total
US,US,4,all_sports,participants,all,2016,all,7440072.75,SUM,total
US,US,4,all_sports,participants,all,2017,all,7324234.5,SUM,total
US,US,4,all_sports,participants,all,2018,all,7164728,SUM,total
US,US,4,all_sports,participants,gender,2009,female,1482650,SUM,total
US,US,4,all_sports,participants,gender,2009,male,5375230,SUM,total
US,US,4,all_sports,participants,gender,2010,female,1515562.75,SUM,total
US,US,4,all_sports,participants,gender,2010,male,5619518,SUM,total
US,US,4,all_sports,participants,gender,2011,female,1541598,SUM,total
US,US,4,all_sports,participants,gender,2011,male,5595691.5,SUM,total
US,US,4,all_sports,participants,gender,2012,female,1618354,SUM,total
US,US,4,all_sports,participants,gender,2012,male,5670375.75,SUM,total
US,US,4,all_sports,participants,gender,2013,female,1649088.25,SUM,total
US,US,4,all_sports,participants,gender,2013,male,5718244.25,SUM,total
US,US,4,all_sports,participants,gender,2014,female,1715773,SUM,total
US,US,4,all_sports,participants,gender,2014,male,5769989.25,SUM,total
US,US,4,all_sports,participants,gender,2015,female,1714177.5,SUM,total
US,US,4,all_sports,participants,gender,2015,male,5740740.25,SUM,total
US,US,4,all_sports,participants,gender,2016,female,1719492.75,SUM,total
US,US,4,all_sports,participants,gender,2016,male,5720580,SUM,total
US,US,4,all_sports,participants,gender,2017,female,1686272.5,SUM,total
US,US,4,all_sports,participants,gender,2017,male,5637962,SUM,total
US,US,4,all_sports,participants,gender,2018,female,1639537.5,SUM,total
US,US,4,all_sports,participants,gender,2018,male,5525190.5,SUM,total
US,US,4,all_sports,participants,residency,2009,nonresident,1198338,SUM,total
US,US,4,all_sports,participants,residency,2009,resident,5659542,SUM,total
US,US,4,all_sports,participants,residency,2010,nonresident,1367759,SUM,total
US,US,4,all_sports,participants,residency,2010,resident,5767321.75,SUM,total
US,US,4,all_sports,participants,residency,2011,nonresident,1369043,SUM,total
US,US,4,all_sports,participants,residency,2011,resident,5768246.5,SUM,total
US,US,4,all_sports,participants,residency,2012,nonresident,1409939,SUM,total
US,US,4,all_sports,participants,residency,2012,resident,5878790.75,SUM,total
US,US,4,all_sports,participants,residency,2013,nonresident,1463410.25,SUM,total
US,US,4,all_sports,participants,residency,2013,resident,5903922.25,SUM,total
US,US,4,all_sports,participants,residency,2014,nonresident,1493418,SUM,total
US,US,4,all_sports,participants,residency,2014,resident,5992344.25,SUM,total
US,US,4,all_sports,participants,residency,2015,nonresident,1517291.5,SUM,total
US,US,4,all_sports,participants,residency,2015,resident,5937626.25,SUM,total
US,US,4,all_sports,participants,residency,2016,nonresident,1524200.75,SUM,total
US,US,4,all_sports,participants,residency,2016,resident,5915872,SUM,total
US,US,4,all_sports,participants,residency,2017,nonresident,1514906.75,SUM,total
US,US,4,all_sports,participants,residency,2017,resident,5809327.75,SUM,total
US,US,4,all_sports,participants,residency,2018,nonresident,1499679.25,SUM,total
US,US,4,all_sports,participants,residency,2018,resident,5665048.75,SUM,total
US,US,4,all_sports,participants - recruited,age,2014,18-24,329025.32635193027,SUM,total
US,US,4,all_sports,participants - recruited,age,2014,25-34,431087.8187903452,SUM,total
US,US,4,all_sports,participants - recruited,age,2014,35-44,366356.1189953141,SUM,total
US,US,4,all_sports,participants - recruited,age,2014,45-54,351209.60870412306,SUM,total
US,US,4,all_sports,participants - recruited,age,2014,55-64,274986.12715828733,SUM,total
US,US,4,all_sports,participants - recruited,age,2015,18-24,320707.32635193027,SUM,total
US,US,4,all_sports,participants - recruited,age,2015,25-34,430872.8187903452,SUM,total
US,US,4,all_sports,participants - recruited,age,2015,35-44,363695.1189953141,SUM,total
US,US,4,all_sports,participants - recruited,age,2015,45-54,351762.60870412306,SUM,total
US,US,4,all_sports,participants - recruited,age,2015,55-64,280327.12715828733,SUM,total
US,US,4,all_sports,participants - recruited,age,2016,18-24,317174.32635193027,SUM,total
US,US,4,all_sports,participants - recruited,age,2016,25-34,431192.8187903452,SUM,total
US,US,4,all_sports,participants - recruited,age,2016,35-44,367087.1189953141,SUM,total
US,US,4,all_sports,participants - recruited,age,2016,45-54,353582.60870412306,SUM,total
US,US,4,all_sports,participants - recruited,age,2016,55-64,285985.12715828733,SUM,total
US,US,4,all_sports,participants - recruited,age,2017,18-24,304574.32635193027,SUM,total
US,US,4,all_sports,participants - recruited,age,2017,25-34,416210.8187903452,SUM,total
