region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Southeast,VA,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2011,18-24,0.0019066638253246741,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2012,18-24,-0.012044943524177511,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2013,18-24,-0.016091635035212784,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2014,18-24,0.010228564544794651,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2015,18-24,0.017966706165545115,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2016,18-24,0.014222343807106195,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2017,18-24,-0.01310414336835775,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2018,18-24,-0.011732437003148197,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2011,25-34,0.008391703417798772,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2012,25-34,-0.007600926749850624,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2013,25-34,-0.01586025311098135,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2014,25-34,0.01114990430925322,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2015,25-34,0.02038849458653562,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2016,25-34,0.013882187286940358,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2017,25-34,-0.013951923249930418,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2018,25-34,-0.015843939982818467,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2011,35-44,0.005564158436339874,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2012,35-44,2.0715154183100718e-4,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2013,35-44,-0.01970332601353928,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2014,35-44,0.01218097742006967,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2015,35-44,0.029922433458630108,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2016,35-44,0.028262176484491384,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2017,35-44,-0.02119622174273395,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2018,35-44,-0.0030250440486980293,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2011,45-54,-0.002360365846297389,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2012,45-54,-0.015891691958884988,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2013,45-54,-0.018392508047381233,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2014,45-54,-0.0014333558556712583,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2015,45-54,0.02440924199164339,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2016,45-54,0.026538622788353453,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2017,45-54,-0.03947113644721368,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2018,45-54,0.0066063094927685286,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2011,55-64,-0.009463701922920712,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2012,55-64,-0.033287680215218565,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2013,55-64,-0.020216654009855253,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2014,55-64,-0.0027459829915374235,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2015,55-64,0.014364218496597895,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2016,55-64,0.031181410567918268,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2017,55-64,-0.048363973239826934,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,age,2018,55-64,-0.015010731956086987,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2010,all,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2011,all,0.0014711899416703928,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2012,all,-0.013497867076529262,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2013,all,-0.017031602574652777,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2014,all,0.00907716483830379,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2015,all,0.022348264276787263,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2016,all,0.02166377639375028,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2017,all,-0.03132667501065941,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,all,2018,all,-0.017439674543336024,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2010,female,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2011,female,-0.001583471793661765,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2012,female,-0.00503256273677992,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2013,female,-0.024885342783733302,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2014,female,-0.005197847007620619,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2015,female,0.016479149467533975,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2016,female,0.007292253444612723,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2017,female,-0.01874114190136647,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2018,female,-0.02294689497228909,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2010,male,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2011,male,5.205133402635797e-4,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2012,male,-0.015298423042682717,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2013,male,-0.01717345667088056,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2014,male,0.009757355921607955,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2015,male,0.01868857008047635,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2016,male,0.022751765982425256,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2017,male,-0.030793821841265837,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,gender,2018,male,-0.00663037036171424,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2011,nonresident,0.0034074479725548987,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2012,nonresident,-0.009817289753711548,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2013,nonresident,0.00385353821285589,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2014,nonresident,-0.01368524441524268,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2015,nonresident,0.02423950018945444,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2016,nonresident,0.01520712003746812,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2017,nonresident,-0.013675159171256227,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2018,nonresident,0.004751129553479632,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2010,resident,0,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2011,resident,-0.0018538641115799065,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2012,resident,-0.009833642542506196,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2013,resident,-0.020332360448366605,NONE,pct_change_yr
Southeast,VA,4,all_sports,churn,residency,2014,resident,0.018349503703892114,NONE,pct_change_yr
