region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Southeast,VA,4,hunt,participants,all,2009,all,245166,NONE,total
Southeast,VA,4,hunt,participants,all,2010,all,238272,NONE,total
Southeast,VA,4,hunt,participants,all,2011,all,233092,NONE,total
Southeast,VA,4,hunt,participants,all,2012,all,233805,NONE,total
Southeast,VA,4,hunt,participants,all,2013,all,238324,NONE,total
Southeast,VA,4,hunt,participants,all,2014,all,234775,NONE,total
Southeast,VA,4,hunt,participants,all,2015,all,230068,NONE,total
Southeast,VA,4,hunt,participants,all,2016,all,223215,NONE,total
Southeast,VA,4,hunt,participants,all,2017,all,217583,NONE,total
Southeast,VA,4,hunt,participants,all,2018,all,211965,NONE,total
Southeast,VA,4,hunt,participants,residency,2009,resident,224713,NONE,total
Southeast,VA,4,hunt,participants,residency,2010,resident,218819,NONE,total
Southeast,VA,4,hunt,participants,residency,2011,resident,214871,NONE,total
Southeast,VA,4,hunt,participants,residency,2012,resident,215844,NONE,total
Southeast,VA,4,hunt,participants,residency,2013,resident,220167,NONE,total
Southeast,VA,4,hunt,participants,residency,2014,resident,216249,NONE,total
Southeast,VA,4,hunt,participants,residency,2015,resident,211365,NONE,total
Southeast,VA,4,hunt,participants,residency,2016,resident,204674,NONE,total
Southeast,VA,4,hunt,participants,residency,2017,resident,199391,NONE,total
Southeast,VA,4,hunt,participants,residency,2018,resident,193396,NONE,total
Southeast,VA,4,hunt,participants,residency,2009,nonresident,20453,NONE,total
Southeast,VA,4,hunt,participants,residency,2010,nonresident,19453,NONE,total
Southeast,VA,4,hunt,participants,residency,2011,nonresident,18221,NONE,total
Southeast,VA,4,hunt,participants,residency,2012,nonresident,17961,NONE,total
Southeast,VA,4,hunt,participants,residency,2013,nonresident,18157,NONE,total
Southeast,VA,4,hunt,participants,residency,2014,nonresident,18526,NONE,total
Southeast,VA,4,hunt,participants,residency,2015,nonresident,18703,NONE,total
Southeast,VA,4,hunt,participants,residency,2016,nonresident,18541,NONE,total
Southeast,VA,4,hunt,participants,residency,2017,nonresident,18192,NONE,total
Southeast,VA,4,hunt,participants,residency,2018,nonresident,18569,NONE,total
Southeast,VA,4,hunt,participants,gender,2009,male,228318,NONE,total
Southeast,VA,4,hunt,participants,gender,2010,male,221299,NONE,total
Southeast,VA,4,hunt,participants,gender,2011,male,215879,NONE,total
Southeast,VA,4,hunt,participants,gender,2012,male,214758,NONE,total
Southeast,VA,4,hunt,participants,gender,2013,male,217976,NONE,total
Southeast,VA,4,hunt,participants,gender,2014,male,213478,NONE,total
Southeast,VA,4,hunt,participants,gender,2015,male,208568,NONE,total
Southeast,VA,4,hunt,participants,gender,2016,male,202010,NONE,total
Southeast,VA,4,hunt,participants,gender,2017,male,197209,NONE,total
Southeast,VA,4,hunt,participants,gender,2018,male,192050,NONE,total
Southeast,VA,4,hunt,participants,gender,2009,female,16848,NONE,total
Southeast,VA,4,hunt,participants,gender,2010,female,16973,NONE,total
Southeast,VA,4,hunt,participants,gender,2011,female,17213,NONE,total
Southeast,VA,4,hunt,participants,gender,2012,female,19047,NONE,total
Southeast,VA,4,hunt,participants,gender,2013,female,20348,NONE,total
Southeast,VA,4,hunt,participants,gender,2014,female,21297,NONE,total
Southeast,VA,4,hunt,participants,gender,2015,female,21500,NONE,total
Southeast,VA,4,hunt,participants,gender,2016,female,21205,NONE,total
Southeast,VA,4,hunt,participants,gender,2017,female,20374,NONE,total
Southeast,VA,4,hunt,participants,gender,2018,female,19915,NONE,total
Southeast,VA,4,hunt,participants,age,2009,18-24,31515,NONE,total
Southeast,VA,4,hunt,participants,age,2010,18-24,31466,NONE,total
Southeast,VA,4,hunt,participants,age,2011,18-24,30783,NONE,total
Southeast,VA,4,hunt,participants,age,2012,18-24,31856,NONE,total
Southeast,VA,4,hunt,participants,age,2013,18-24,33269,NONE,total
Southeast,VA,4,hunt,participants,age,2014,18-24,33171,NONE,total
Southeast,VA,4,hunt,participants,age,2015,18-24,32221,NONE,total
Southeast,VA,4,hunt,participants,age,2016,18-24,30993,NONE,total
Southeast,VA,4,hunt,participants,age,2017,18-24,29412,NONE,total
Southeast,VA,4,hunt,participants,age,2018,18-24,28496,NONE,total
Southeast,VA,4,hunt,participants,age,2009,25-34,46290,NONE,total
Southeast,VA,4,hunt,participants,age,2010,25-34,44461,NONE,total
Southeast,VA,4,hunt,participants,age,2011,25-34,43665,NONE,total
Southeast,VA,4,hunt,participants,age,2012,25-34,44928,NONE,total
Southeast,VA,4,hunt,participants,age,2013,25-34,46913,NONE,total
Southeast,VA,4,hunt,participants,age,2014,25-34,46856,NONE,total
Southeast,VA,4,hunt,participants,age,2015,25-34,46398,NONE,total
Southeast,VA,4,hunt,participants,age,2016,25-34,45250,NONE,total
Southeast,VA,4,hunt,participants,age,2017,25-34,43274,NONE,total
Southeast,VA,4,hunt,participants,age,2018,25-34,42119,NONE,total
Southeast,VA,4,hunt,participants,age,2009,35-44,59073,NONE,total
Southeast,VA,4,hunt,participants,age,2010,35-44,55244,NONE,total
Southeast,VA,4,hunt,participants,age,2011,35-44,52712,NONE,total
Southeast,VA,4,hunt,participants,age,2012,35-44,51033,NONE,total
Southeast,VA,4,hunt,participants,age,2013,35-44,51183,NONE,total
Southeast,VA,4,hunt,participants,age,2014,35-44,48969,NONE,total
Southeast,VA,4,hunt,participants,age,2015,35-44,46667,NONE,total
Southeast,VA,4,hunt,participants,age,2016,35-44,44239,NONE,total
