region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Midwest,WI,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2011,18-24,-0.025565748364215473,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2012,18-24,-0.03489486309929468,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2013,18-24,-0.01962975303085395,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2014,18-24,0.007123957073281171,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2015,18-24,0.012334775092657811,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2016,18-24,0.012334775092657811,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2017,18-24,0.012334775092657811,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2018,18-24,0.012334775092657811,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2011,25-34,-0.004294690610910261,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2012,25-34,-0.0273132824284106,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2013,25-34,0.007245012744168811,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2014,25-34,0.02322439109130037,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2015,25-34,0.01321287409948952,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2016,25-34,0.01321287409948952,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2017,25-34,0.01321287409948952,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2018,25-34,0.01321287409948952,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2011,35-44,-0.0038369517390990818,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2012,35-44,-0.02431922696780227,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2013,35-44,0.026425988411424028,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2014,35-44,0.045681501157359305,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2015,35-44,0.023828761611659623,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2016,35-44,0.023828761611659623,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2017,35-44,0.023828761611659623,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2018,35-44,0.023828761611659623,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2011,45-54,-0.010463197137551658,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2012,45-54,-0.050343886274734295,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2013,45-54,0.0038884251047092977,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2014,45-54,0.028074867065897152,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2015,45-54,-0.0014996997353031345,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2016,45-54,-0.0014996997353031345,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2017,45-54,-0.0014996997353031345,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2018,45-54,-0.0014996997353031345,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2010,55-64,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2011,55-64,-0.001940392756705403,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2012,55-64,-0.044893305590964064,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2013,55-64,0.027313172698365005,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2014,55-64,0.03590556587404375,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2015,55-64,-0.013574447875215001,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2016,55-64,-0.013574447875215001,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2017,55-64,-0.013574447875215001,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,age,2018,55-64,-0.013574447875215001,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2010,all,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2011,all,-0.010678223394696618,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2012,all,-0.03821210778862474,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2013,all,0.007645582378726945,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2014,all,0.02797891807432837,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2015,all,0.0071854472497377714,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2016,all,0.0071854472497377714,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2017,all,0.0071854472497377714,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,all,2018,all,0.0071854472497377714,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2010,female,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2011,female,-0.011516030055057342,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2012,female,-0.039921994363991666,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2013,female,0.011505530587163885,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2014,female,0.009407321266705515,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2015,female,-0.0026471629815707177,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2016,female,-0.0026471629815707177,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2017,female,-0.0026471629815707177,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2018,female,-0.0026471629815707177,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2010,male,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2011,male,-0.009637457635978256,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2012,male,-0.03853951751924298,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2013,male,8.32672801921782e-5,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2014,male,0.031121556125992038,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2015,male,0.002933138419711821,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2016,male,0.002933138419711821,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2017,male,0.002933138419711821,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,gender,2018,male,0.002933138419711821,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,residency,2010,nonresident,0,NONE,pct_change_all
Midwest,WI,4,all_sports,churn,residency,2011,nonresident,0.0014221038326798039,NONE,pct_change_all
