region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Midwest,WI,4,all_sports,churn,age,2010,18-24,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2011,18-24,-0.025565748364215473,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2012,18-24,-0.009329114735079212,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2013,18-24,0.015265110068440736,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2014,18-24,0.02675371010413512,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2015,18-24,0.005210818019376641,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2016,18-24,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2017,18-24,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2018,18-24,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2010,25-34,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2011,25-34,-0.004294690610910261,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2012,25-34,-0.02301859181750034,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2013,25-34,0.03455829517257941,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2014,25-34,0.01597937834713156,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2015,25-34,-0.01001151699181085,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2016,25-34,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2017,25-34,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2018,25-34,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2010,35-44,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2011,35-44,-0.0038369517390990818,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2012,35-44,-0.02048227522870319,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2013,35-44,0.0507452153792263,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2014,35-44,0.019255512745935274,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2015,35-44,-0.02185273954569968,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2016,35-44,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2017,35-44,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2018,35-44,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2010,45-54,0,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2011,45-54,-0.010463197137551658,NONE,pct_change_yr
Midwest,WI,4,all_sports,churn,age,2012,45-54,-0.03988068913718264,NONE,pct_change_yr
