region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Midwest,WI,4,hunt,participants,all,2009,all,572852,NONE,total
Midwest,WI,4,hunt,participants,all,2010,all,559638,NONE,total
Midwest,WI,4,hunt,participants,all,2011,all,556061,NONE,total
Midwest,WI,4,hunt,participants,all,2012,all,561974,NONE,total
Midwest,WI,4,hunt,participants,all,2013,all,557788,NONE,total
Midwest,WI,4,hunt,participants,all,2014,all,539525,NONE,total
Midwest,WI,4,hunt,participants,all,2015,all,541414,NONE,total
Midwest,WI,4,hunt,participants,residency,2009,resident,528512,NONE,total
Midwest,WI,4,hunt,participants,residency,2010,resident,517585,NONE,total
Midwest,WI,4,hunt,participants,residency,2011,resident,514275,NONE,total
Midwest,WI,4,hunt,participants,residency,2012,resident,519605,NONE,total
Midwest,WI,4,hunt,participants,residency,2013,resident,514512,NONE,total
Midwest,WI,4,hunt,participants,residency,2014,resident,498401,NONE,total
Midwest,WI,4,hunt,participants,residency,2015,resident,498773,NONE,total
Midwest,WI,4,hunt,participants,residency,2009,nonresident,44340,NONE,total
Midwest,WI,4,hunt,participants,residency,2010,nonresident,42053,NONE,total
Midwest,WI,4,hunt,participants,residency,2011,nonresident,41786,NONE,total
Midwest,WI,4,hunt,participants,residency,2012,nonresident,42369,NONE,total
Midwest,WI,4,hunt,participants,residency,2013,nonresident,43276,NONE,total
Midwest,WI,4,hunt,participants,residency,2014,nonresident,41124,NONE,total
Midwest,WI,4,hunt,participants,residency,2015,nonresident,42641,NONE,total
Midwest,WI,4,hunt,participants,gender,2009,male,524910,NONE,total
Midwest,WI,4,hunt,participants,gender,2010,male,511692,NONE,total
Midwest,WI,4,hunt,participants,gender,2011,male,506798,NONE,total
Midwest,WI,4,hunt,participants,gender,2012,male,508519,NONE,total
Midwest,WI,4,hunt,participants,gender,2013,male,503153,NONE,total
Midwest,WI,4,hunt,participants,gender,2014,male,484845,NONE,total
Midwest,WI,4,hunt,participants,gender,2015,male,483375,NONE,total
Midwest,WI,4,hunt,participants,gender,2009,female,47942,NONE,total
Midwest,WI,4,hunt,participants,gender,2010,female,47946,NONE,total
Midwest,WI,4,hunt,participants,gender,2011,female,49263,NONE,total
Midwest,WI,4,hunt,participants,gender,2012,female,53455,NONE,total
Midwest,WI,4,hunt,participants,gender,2013,female,54635,NONE,total
Midwest,WI,4,hunt,participants,gender,2014,female,54680,NONE,total
Midwest,WI,4,hunt,participants,gender,2015,female,58039,NONE,total
Midwest,WI,4,hunt,participants,age,2009,18-24,77325,NONE,total
Midwest,WI,4,hunt,participants,age,2010,18-24,75117,NONE,total
Midwest,WI,4,hunt,participants,age,2011,18-24,73975,NONE,total
Midwest,WI,4,hunt,participants,age,2012,18-24,75202,NONE,total
Midwest,WI,4,hunt,participants,age,2013,18-24,75482,NONE,total
Midwest,WI,4,hunt,participants,age,2014,18-24,72423,NONE,total
Midwest,WI,4,hunt,participants,age,2015,18-24,71333,NONE,total
Midwest,WI,4,hunt,participants,age,2009,25-34,108820,NONE,total
Midwest,WI,4,hunt,participants,age,2010,25-34,108085,NONE,total
Midwest,WI,4,hunt,participants,age,2011,25-34,109040,NONE,total
Midwest,WI,4,hunt,participants,age,2012,25-34,112162,NONE,total
Midwest,WI,4,hunt,participants,age,2013,25-34,113267,NONE,total
Midwest,WI,4,hunt,participants,age,2014,25-34,110701,NONE,total
Midwest,WI,4,hunt,participants,age,2015,25-34,111838,NONE,total
Midwest,WI,4,hunt,participants,age,2009,35-44,128312,NONE,total
Midwest,WI,4,hunt,participants,age,2010,35-44,120371,NONE,total
Midwest,WI,4,hunt,participants,age,2011,35-44,115244,NONE,total
Midwest,WI,4,hunt,participants,age,2012,35-44,113336,NONE,total
Midwest,WI,4,hunt,participants,age,2013,35-44,110575,NONE,total
Midwest,WI,4,hunt,participants,age,2014,35-44,105847,NONE,total
Midwest,WI,4,hunt,participants,age,2015,35-44,105107,NONE,total
Midwest,WI,4,hunt,participants,age,2009,45-54,156084,NONE,total
Midwest,WI,4,hunt,participants,age,2010,45-54,151636,NONE,total
Midwest,WI,4,hunt,participants,age,2011,45-54,150175,NONE,total
Midwest,WI,4,hunt,participants,age,2012,45-54,149573,NONE,total
Midwest,WI,4,hunt,participants,age,2013,45-54,144607,NONE,total
Midwest,WI,4,hunt,participants,age,2014,45-54,136427,NONE,total
Midwest,WI,4,hunt,participants,age,2015,45-54,133634,NONE,total
Midwest,WI,4,hunt,participants,age,2009,55-64,102312,NONE,total
Midwest,WI,4,hunt,participants,age,2010,55-64,104429,NONE,total
Midwest,WI,4,hunt,participants,age,2011,55-64,107627,NONE,total
Midwest,WI,4,hunt,participants,age,2012,55-64,111702,NONE,total
Midwest,WI,4,hunt,participants,age,2013,55-64,113858,NONE,total
Midwest,WI,4,hunt,participants,age,2014,55-64,114128,NONE,total
Midwest,WI,4,hunt,participants,age,2015,55-64,119503,NONE,total
Midwest,WI,4,hunt,participants - recruited,all,2014,all,30441,NONE,total
Midwest,WI,4,hunt,participants - recruited,all,2015,all,31094,NONE,total
Midwest,WI,4,hunt,participants - recruited,residency,2014,resident,22553,NONE,total
Midwest,WI,4,hunt,participants - recruited,residency,2015,resident,22767,NONE,total
