"Package","Version"
"acepack","1.4.1"
"checkmate","1.8.5"
"d3heatmap","0.6.1.2"
"data.table","1.11.6"
"dendextend","1.8.0"
"DEoptimR","1.0-8"
"diptest","0.75-7"
"flexmix","2.3-14"
"foreach","1.4.4"
"Formula","1.2-3"
"fpc","2.1-11.1"
"gclus","1.3.1"
"gdata","2.18.0"
"gplots","3.0.1"
"gridExtra","2.3"
"gtools","3.8.1"
"heatmaply","0.15.2"
"hexbin","1.27.2"
"Hmisc","4.1-1"
"htmlTable","1.12"
"iterators","1.0.10"
"kernlab","0.9-27"
"latticeExtra","0.6-28"
"mclust","5.4.1"
"memoise","1.1.0"
"modeltools","0.2-22"
"mvtnorm","1.0-8"
"PerformanceAnalytics","1.5.2"
"plotly","4.8.0"
"png","0.1-7"
"prabclus","2.2-6"
"qap","0.1-1"
"quadprog","1.5-5"
"registry","0.5"
"rJava","0.9-10"
"robustbase","0.93-3"
"RSQLite","2.1.1"
"salic","2.0.0"
"seriation","1.2-3"
"trimcluster","0.1-2.1"
"TSP","1.1-6"
"viridis","0.5.1"
"webshot","0.5.0"
"xlsx","0.6.1"
"xlsxjars","0.6.1"
"xts","0.11-1"
"zoo","1.8-4"
